key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8,0,"ui/icon/200000/200109.tex",8,"Thick-rimmed Glasses","Silver Thick-rimmed Glasses","Gold Thick-rimmed Glasses","Black Thick-rimmed Glasses","White Thick-rimmed Glasses","Grey Thick-rimmed Glasses","Red Thick-rimmed Glasses","Blue Thick-rimmed Glasses","Green Thick-rimmed Glasses","Brass Thick-rimmed Glasses","Purple Thick-rimmed Glasses","Brown Thick-rimmed Glasses","paire de lunettes à bordure épaisse",0,"paires de lunettes à bordure épaisse",0,0,1,1,0,"Lunettes à bordure épaisse"
9,0,"ui/icon/200000/200073.tex",9,"Minstrel's Spectacles","Silver Minstrel's Spectacles","Gold Minstrel's Spectacles","Black Minstrel's Spectacles","White Minstrel's Spectacles","Grey Minstrel's Spectacles","Red Minstrel's Spectacles","Blue Minstrel's Spectacles","Green Minstrel's Spectacles","Brass Minstrel's Spectacles","Purple Minstrel's Spectacles","Brown Minstrel's Spectacles","paire de lunettes de ménestrel",0,"paires de lunettes de ménestrel",0,0,1,1,0,"Lunettes de ménestrel"
10,0,"ui/icon/200000/200121.tex",10,"Pince-nez","Silver Pince-nez","Gold Pince-nez","Black Pince-nez","White Pince-nez","Grey Pince-nez","Red Pince-nez","Blue Pince-nez","Green Pince-nez","Brass Pince-nez","Purple Pince-nez","Brown Pince-nez","pince-nez",0,"pince-nez",0,0,1,0,0,"Pince-nez"
11,0,"ui/icon/200000/200133.tex",11,"Magnifiers","Silver Magnifiers","Gold Magnifiers","Black Magnifiers","White Magnifiers","Grey Magnifiers","Red Magnifiers","Blue Magnifiers","Green Magnifiers","Brass Magnifiers","Purple Magnifiers","Brown Magnifiers","paire de lunettes loupes",0,"paires de lunettes loupes",0,0,1,1,0,"Lunettes loupes"
12,0,"ui/icon/200000/200145.tex",12,"Brass Goggles","Silver Brass Goggles","Gold Brass Goggles","Black Brass Goggles","White Brass Goggles","Grey Brass Goggles","Red Brass Goggles","Blue Brass Goggles","Green Brass Goggles","Bronze Brass Goggles","Purple Brass Goggles","Brown Brass Goggles","paire de lunettes de sécurité",0,"paires de lunettes de sécurité",0,0,1,1,0,"Lunettes de sécurité"
13,0,"ui/icon/200000/200157.tex",13,"Under-rim Glasses","Silver Under-rim Glasses","Gold Under-rim Glasses","Black Under-rim Glasses","White Under-rim Glasses","Grey Under-rim Glasses","Red Under-rim Glasses","Blue Under-rim Glasses","Green Under-rim Glasses","Brass Under-rim Glasses","Purple Under-rim Glasses","Brown Under-rim Glasses","paire de lunettes à demi-monture inférieure",0,"paires de lunettes à demi-monture inférieure",0,0,1,1,0,"Lunettes à demi-monture inférieure"
14,0,"ui/icon/200000/200169.tex",14,"Oval Reading Glasses","Silver Oval Reading Glasses","Gold Oval Reading Glasses","Black Oval Reading Glasses","White Oval Reading Glasses","Grey Oval Reading Glasses","Red Oval Reading Glasses","Blue Oval Reading Glasses","Green Oval Reading Glasses","Brass Oval Reading Glasses","Purple Oval Reading Glasses","Brown Oval Reading Glasses","paire de lunettes de lecture ovales",0,"paires de lunettes de lecture ovales",0,0,1,1,0,"Lunettes de lecture ovales"
15,0,"ui/icon/200000/200181.tex",15,"Elegant Rimless Glasses","Silver Elegant Rimless Glasses","Gold Elegant Rimless Glasses","Black Elegant Rimless Glasses","White Elegant Rimless Glasses","Grey Elegant Rimless Glasses","Red Elegant Rimless Glasses","Blue Elegant Rimless Glasses","Green Elegant Rimless Glasses","Brass Elegant Rimless Glasses","Purple Elegant Rimless Glasses","Brown Elegant Rimless Glasses","paire de lunettes sans monture élégantes",0,"paires de lunettes sans monture élégantes",0,0,1,1,0,"Lunettes sans monture élégantes"
16,0,"ui/icon/200000/200193.tex",16,"Cat Eye Glasses","Silver Cat Eye Glasses","Gold Cat Eye Glasses","Black Cat Eye Glasses","White Cat Eye Glasses","Grey Cat Eye Glasses","Red Cat Eye Glasses","Blue Cat Eye Glasses","Green Cat Eye Glasses","Brass Cat Eye Glasses","Purple Cat Eye Glasses","Brown Cat Eye Glasses","paire de lunettes œil-de-chat",0,"paires de lunettes œil-de-chat",0,0,1,1,0,"Lunettes œil-de-chat"
17,0,"ui/icon/200000/200205.tex",17,"Slim Frame Glasses","Silver Slim Frame Glasses","Gold Slim Frame Glasses","Black Slim Frame Glasses","White Slim Frame Glasses","Grey Slim Frame Glasses","Red Slim Frame Glasses","Blue Slim Frame Glasses","Green Slim Frame Glasses","Brass Slim Frame Glasses","Purple Slim Frame Glasses","Brown Slim Frame Glasses","paire de lunettes à monture fine",0,"paires de lunettes à monture fine",0,0,1,1,0,"Lunettes à monture fine"
18,0,"ui/icon/200000/200217.tex",18,"Tinted Goggles","Silver Tinted Goggles","Gold Tinted Goggles","Black Tinted Goggles","White Tinted Goggles","Grey Tinted Goggles","Red Tinted Goggles","Blue Tinted Goggles","Green Tinted Goggles","Brass Tinted Goggles","Purple Tinted Goggles","Brown Tinted Goggles","paire de lunettes fumées",0,"paires de lunettes fumées",0,0,1,1,0,"Lunettes fumées"
19,0,"ui/icon/200000/200229.tex",19,"Eyepatch (Left)","Silver Eyepatch (Left)","Gold Eyepatch (Left)","Black Eyepatch (Left)","White Eyepatch (Left)","Grey Eyepatch (Left)","Red Eyepatch (Left)","Blue Eyepatch (Left)","Green Eyepatch (Left)","Brass Eyepatch (Left)","Purple Eyepatch (Left)","Brown Eyepatch (Left)","cache-œil (gauche)",0,"cache-œil (gauche)",0,0,1,0,0,"Cache-œil (gauche)"
20,0,"ui/icon/200000/200241.tex",20,"Eyepatch (Right)","Silver Eyepatch (Right)","Gold Eyepatch (Right)","Black Eyepatch (Right)","White Eyepatch (Right)","Grey Eyepatch (Right)","Red Eyepatch (Right)","Blue Eyepatch (Right)","Green Eyepatch (Right)","Brass Eyepatch (Right)","Purple Eyepatch (Right)","Brown Eyepatch (Right)","cache-œil (droit)",0,"cache-œil (droit)",0,0,1,0,0,"Cache-œil (droit)"
21,0,"ui/icon/200000/200253.tex",21,"Metallic Eyepatch (Left)","Silver Metallic Eyepatch (Left)","Gold Metallic Eyepatch (Left)","Black Metallic Eyepatch (Left)","White Metallic Eyepatch (Left)","Grey Metallic Eyepatch (Left)","Red Metallic Eyepatch (Left)","Blue Metallic Eyepatch (Left)","Green Metallic Eyepatch (Left)","Brass Metallic Eyepatch (Left)","Purple Metallic Eyepatch (Left)","Brown Metallic Eyepatch (Left)","cache-œil métallique (gauche)",0,"cache-œil métalliques (gauche)",0,0,1,0,0,"Cache-œil métallique (gauche)"
22,0,"ui/icon/200000/200265.tex",22,"Metallic Eyepatch (Right)","Silver Metallic Eyepatch (Right)","Gold Metallic Eyepatch (Right)","Black Metallic Eyepatch (Right)","White Metallic Eyepatch (Right)","Grey Metallic Eyepatch (Right)","Red Metallic Eyepatch (Right)","Blue Metallic Eyepatch (Right)","Green Metallic Eyepatch (Right)","Brass Metallic Eyepatch (Right)","Purple Metallic Eyepatch (Right)","Brown Metallic Eyepatch (Right)","cache-œil métallique (droit)",0,"cache-œil métalliques (droit)",0,0,1,0,0,"Cache-œil métallique (droit)"
23,0,"ui/icon/200000/200277.tex",23,"Coeurl Eyeglasses","Silver Coeurl Eyeglasses","Gold Coeurl Eyeglasses","Black Coeurl Eyeglasses","White Coeurl Eyeglasses","Grey Coeurl Eyeglasses","Red Coeurl Eyeglasses","Blue Coeurl Eyeglasses","Green Coeurl Eyeglasses","Brass Coeurl Eyeglasses","Purple Coeurl Eyeglasses","Brown Coeurl Eyeglasses","paire de lunettes œil-de-coeurl",0,"paires de lunettes œil-de-coeurl",0,0,1,1,0,"Lunettes œil-de-coeurl"
24,0,"ui/icon/200000/200289.tex",24,"Reading Glasses","Silver Reading Glasses","Gold Reading Glasses","Black Reading Glasses","White Reading Glasses","Grey Reading Glasses","Red Reading Glasses","Blue Reading Glasses","Green Reading Glasses","Brass Reading Glasses","Purple Reading Glasses","Brown Reading Glasses","paire de lunettes de lecture",0,"paires de lunettes de lecture",0,0,1,1,0,"Lunettes de lecture"
25,0,"ui/icon/200000/200301.tex",25,"Tinted Sunglasses","Silver Tinted Sunglasses","Gold Tinted Sunglasses","Black Tinted Sunglasses","White Tinted Sunglasses","Grey Tinted Sunglasses","Red Tinted Sunglasses","Blue Tinted Sunglasses","Green Tinted Sunglasses","Brass Tinted Sunglasses","Purple Tinted Sunglasses","Brown Tinted Sunglasses","paire de lunettes de soleil teintées",0,"paires de lunettes de soleil teintées",0,0,1,1,0,"Lunettes de soleil teintées"
26,0,"ui/icon/200000/200313.tex",26,"Groovy Glasses","Silver Groovy Glasses","Gold Groovy Glasses","Black Groovy Glasses","White Groovy Glasses","Grey Groovy Glasses","Red Groovy Glasses","Blue Groovy Glasses","Green Groovy Glasses","Brass Groovy Glasses","Purple Groovy Glasses","Brown Groovy Glasses","paire de lunettes groovy",0,"paires de lunettes groovy",0,0,1,1,0,"Lunettes groovy"
27,0,"ui/icon/200000/200325.tex",27,"","","","","","","","","","","","","paire de lunettes à verres dégradés",0,"paires de lunettes à verres dégradés",0,0,1,1,0,"Lunettes à verres dégradés"
