key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
38,"coblyn larva",0,"coblyn larvae",0,0,1,0,0,"ModelChara#456",100,20,10,0,0,"Independent",0,0,0,8,32,True,False,False,False,False,0,,True,4433,1026,True,0,15,400,12,360,20,"Monster",626,2
39,"wind-up aldgoat",0,"wind-up aldgoats",0,0,1,0,0,"ModelChara#457",85,30,0,0,0,"Obedient",0,0,0,8,205,False,True,True,False,False,0,,True,4434,1027,True,0,10,340,29,360,20,"Critter",623,1
40,"fledgling apkallu",0,"fledgling apkallus",0,0,1,0,0,"ModelChara#458",100,20,10,0,0,"Independent",0,0,0,8,34,True,False,True,False,True,0,,True,4435,1028,True,0,30,510,41,0,20,"Monster",620,1
41,"goobbue sproutling",0,"goobbue sproutlings",0,0,1,0,0,"ModelChara#459",100,10,0,0,0,"Independent",0,0,0,8,35,True,False,False,False,False,0,,True,4436,1029,True,0,20,410,37,0,20,"Critter",620,2
42,"bite-sized pudding",0,"bite-sized puddings",0,0,1,0,0,"ModelChara#460",100,30,0,0,0,"Independent",0,0,0,8,36,True,False,False,True,False,0,,True,4437,1030,True,0,10,400,21,0,20,"Critter",620,2
43,"model vanguard",0,"model vanguards",0,0,1,0,0,"ModelChara#461",100,30,0,0,0,"Obedient",0,0,0,8,221,False,True,False,True,False,0,,True,4438,11003,True,0,10,340,25,360,20,"Critter",625,2
44,"demon brick",0,"demon bricks",0,0,1,0,0,"ModelChara#462",100,10,5,0,30,"Independent",0,0,0,8,38,True,False,False,True,False,0,,True,4439,1031,True,0,15,390,38,120,20,"Monster",609,2
45,"mini mole",0,"mini moles",0,0,1,0,0,"ModelChara#463",100,20,10,0,0,"Independent",0,0,0,8,39,True,False,False,False,True,0,,True,4440,1032,True,0,25,430,9,0,20,"Monster",620,1
46,"tender lamb",0,"tender lambs",0,0,1,0,0,"ModelChara#464",100,30,0,0,0,"Independent",0,0,0,10,40,True,False,True,False,True,0,,True,4441,1033,True,0,20,680,10,0,20,"Critter",620,1
47,"slime puddle",0,"slime puddles",0,0,1,0,0,"ModelChara#465",100,30,0,0,0,"Independent",0,0,0,8,41,True,False,False,True,False,0,,True,4451,1034,True,0,10,430,23,30,20,"Critter",606,2
48,"kidragora",0,"kidragoras",0,0,1,0,0,"ModelChara#466",90,10,10,30,0,"Independent",0,0,0,8,42,True,False,True,False,True,0,,True,4442,1025,True,0,15,360,1,120,20,"Monster",609,1
49,"wind-up goblin",0,"wind-up goblins",0,0,1,0,0,"ModelChara#467",100,10,5,0,0,"Obedient",0,0,0,8,207,False,True,False,True,False,0,,True,4443,7001,True,0,15,435,26,120,20,"Monster",622,3
50,"wind-up sylph",0,"wind-up sylphs",0,0,1,0,0,"ModelChara#468",100,30,0,0,0,"Obedient",0,0,0,8,208,False,True,True,False,False,0,,True,4449,7002,True,0,15,490,13,30,20,"Critter",621,3
51,"wind-up cursor",0,"wind-up cursors",0,0,1,0,0,"ModelChara#469",100,20,0,0,0,"Obedient",0,0,0,8,0,False,False,False,False,False,0,,True,4444,11501,True,0,15,400,14,30,20,"Monster",621,4
52,"wind-up airship",0,"wind-up airships",0,0,1,0,0,"ModelChara#470",100,30,0,0,0,"Obedient",0,0,0,8,0,False,False,False,False,False,0,,True,4445,11001,True,0,25,465,11,360,20,"Monster",617,4
53,"wind-up Qiqirn",0,"wind-up Qiqirn",0,0,1,0,0,"ModelChara#471",90,30,0,0,0,"Obedient",0,0,0,8,206,False,True,True,False,False,0,,True,4446,6001,True,0,15,380,44,0,30,"Critter",620,3
54,"black chocobo chick",0,"black chocobo chicks",0,0,1,1,0,"ModelChara#505",100,30,0,30,0,"Independent",0,0,0,8,3,True,False,True,False,True,0,,True,4448,5,True,0,25,450,35,360,25,"Critter",634,1
55,"wind-up Dalamud",0,"wind-up Dalamuds",0,0,1,0,0,"ModelChara#472",100,30,0,0,0,"Obedient",0,0,0,8,0,False,False,False,False,False,0,,True,4447,11004,True,0,20,520,17,0,30,"Critter",620,4
56,"minute mindflayer",0,"minute mindflayers",0,0,1,0,0,"ModelChara#578",100,30,0,0,0,"Independent",0,0,0,8,49,True,False,False,False,True,0,,True,4461,1035,True,0,25,455,13,120,20,"Monster",616,2
57,"tight-beaked parrot",0,"tight-beaked parrots",0,0,1,0,0,"ModelChara#579",55,30,0,0,0,"Independent",3,0,0,8,50,True,False,True,False,True,0,,True,4462,1036,True,0,10,365,40,0,30,"Critter",631,1
58,"wind-up Amalj'aa",0,"wind-up Amalj'aa",0,0,1,0,0,"ModelChara#580",100,30,0,0,0,"Obedient",0,0,0,8,213,False,True,False,True,False,0,,True,4454,7003,True,0,10,465,12,360,20,"Monster",626,3
59,"wind-up Ixal",0,"wind-up Ixal",0,0,1,0,0,"ModelChara#581",100,30,0,30,0,"Obedient",0,0,0,8,214,False,True,False,True,False,0,,True,4474,7005,True,0,10,390,10,0,20,"Critter",620,3
60,"wind-up kobold",0,"wind-up kobolds",0,0,1,0,0,"ModelChara#699",100,30,0,0,0,"Obedient",0,0,0,8,215,False,True,False,True,False,0,,True,4463,7006,True,0,10,440,13,120,20,"Critter",622,3
61,"wind-up Sahagin",0,"wind-up Sahagin",0,0,1,0,0,"ModelChara#700",100,30,0,0,0,"Obedient",0,0,0,8,216,False,True,False,True,False,0,,True,4464,7007,True,0,15,435,28,120,20,"Critter",605,3
62,"wind-up brickman",0,"wind-up brickmen",0,0,1,0,0,"ModelChara#577",100,30,0,0,0,"Independent",0,0,0,8,51,True,False,False,False,True,0,,True,4455,13001,True,0,10,410,10,0,20,"Critter",620,2
63,"wind-up Shantotto",0,"wind-up Shantottos",0,0,1,1,0,"ModelChara#527",100,20,0,0,0,"Obedient",0,0,0,8,358,False,True,False,False,False,0,,True,4456,12111,True,0,25,525,9,0,20,"Critter",620,3
64,"wind-up Edvya",0,"wind-up Edvyas",0,0,1,1,0,"ModelChara#584",100,30,0,0,0,"Obedient",0,0,0,8,219,False,True,False,False,False,0,,True,4457,10007,True,0,15,360,23,120,30,"Critter",622,3
65,"wind-up sun",0,"wind-up suns",0,0,1,0,0,"ModelChara#585",100,0,0,0,0,"Stationary",8,0,0,8,0,False,False,False,False,False,0,,True,4465,11502,True,0,15,440,10,0,20,"Critter",620,4
66,"plush cushion",0,"plush cushions",0,0,1,0,0,"ModelChara#586",100,30,0,0,0,"Stationary",12,0,0,8,0,False,False,False,False,False,0,,True,4466,11503,True,80,10,390,30,360,20,"Critter",623,4
67,"Minion of Light",0,"Minions of Light",0,0,1,0,0,"ModelChara#0",100,0,0,0,0,"Obedient",0,0,0,8,0,False,True,False,False,False,0,,True,4458,12011,False,0,10,100,0,0,20,"Critter",0,3
68,"Minion of Light",0,"Minions of Light",0,0,1,0,0,"ModelChara#587",100,10,0,70,0,"Obedient",0,0,0,8,223,False,True,False,False,False,0,,True,4550,12011,True,0,10,430,13,30,20,"Critter",604,3
69,"Minion of Light",0,"Minions of Light",0,0,1,0,0,"ModelChara#623",100,10,0,70,0,"Obedient",0,0,0,8,223,False,True,False,False,False,0,,True,4551,12011,True,0,10,420,27,360,30,"Critter",615,3
70,"Minion of Light",0,"Minions of Light",0,0,1,0,0,"ModelChara#624",100,10,0,70,0,"Obedient",0,0,0,8,223,False,True,False,False,False,0,,True,4552,12011,True,0,10,395,23,120,30,"Critter",610,3
71,"wind-up leader",0,"wind-up leaders",0,0,1,0,0,"ModelChara#0",100,0,0,0,0,"Obedient",0,0,0,8,0,False,True,False,True,False,0,,True,4459,9015,False,0,20,100,0,0,20,"Critter",0,3
72,"wind-up Merlwyb",0,"wind-up Merlwybs",0,0,1,1,0,"ModelChara#626",100,10,0,0,0,"Obedient",0,0,0,8,224,False,True,False,True,False,0,,True,4554,9016,True,0,20,470,43,0,20,"Critter",620,3
73,"wind-up Kan-E",0,"wind-up Kan-Es",0,0,1,1,0,"ModelChara#627",100,10,0,0,0,"Obedient",0,0,0,8,224,False,True,False,True,False,0,,True,4553,9017,True,0,20,430,29,360,30,"Critter",623,3
74,"wind-up Raubahn",0,"wind-up Raubahns",0,0,1,0,0,"ModelChara#625",100,10,0,0,0,"Obedient",0,0,0,8,224,False,True,False,True,False,0,,True,4555,9018,True,0,20,470,19,120,30,"Critter",609,3
75,"princely hatchling",0,"princely hatchlings",0,0,1,0,0,"ModelChara#634",100,30,0,30,0,"Independent",0,0,0,8,3,True,False,True,False,True,0,,True,4460,6,True,0,10,365,14,30,20,"Critter",621,1
76,"wind-up Odin",0,"wind-up Odins",0,0,1,0,0,"ModelChara#683",90,5,10,0,0,"Independent",0,0,0,8,230,False,True,False,True,False,0,,True,4468,8007,True,80,30,500,1,120,20,"Monster",605,2
77,"wind-up Warrior of Light",0,"wind-up Warriors of Light",0,0,1,0,0,"ModelChara#684",80,10,0,0,0,"Obedient",0,0,0,8,235,False,True,False,True,False,0,,True,4467,12012,True,0,15,380,1,30,20,"Critter",604,3
78,"wind-up Bahamut",0,"wind-up Bahamuts",0,0,1,0,0,"ModelChara#685",100,10,0,0,0,"Independent",0,0,0,8,0,True,False,False,False,False,118,,True,4469,2002,True,0,25,410,1,120,20,"Poppet",636,2
79,"wind-up moogle",0,"wind-up moogles",0,0,1,0,0,"ModelChara#688",100,10,0,0,0,"Obedient",4,0,0,8,233,False,True,False,False,False,0,,True,4472,10,True,0,20,470,1,120,20,"Critter",614,3
80,"baby opo-opo",0,"baby opo-opos",0,0,1,0,0,"ModelChara#686",60,30,0,0,0,"Independent",1,0,0,8,52,True,False,True,False,False,0,,True,4470,1037,True,0,10,420,23,120,30,"Critter",605,1
81,"magic broom",0,"magic brooms",0,0,1,0,0,"ModelChara#687",100,10,0,0,80,"Independent",0,0,0,5,0,False,False,False,False,False,0,,True,4471,11504,True,0,25,420,30,360,20,"Critter",623,4
82,"wind-up succubus",0,"wind-up succubi",0,0,1,1,0,"ModelChara#748",80,10,0,0,0,"Obedient",2,0,0,8,231,False,True,False,True,False,0,,True,4475,1038,True,0,10,340,11,360,30,"Critter",617,2
83,"zu hatchling",0,"zu hatchlings",0,0,1,0,0,"ModelChara#682",100,30,0,0,0,"Independent",0,0,0,8,54,True,False,False,False,True,0,,True,4473,1039,True,0,10,450,9,0,20,"Critter",620,2
84,"wind-up Nanamo",0,"wind-up Nanamos",0,0,1,1,0,"ModelChara#751",80,10,0,0,0,"Obedient",1,0,0,8,266,False,True,True,False,False,0,,True,4499,9019,True,0,20,490,15,0,20,"Critter",620,3
85,"wind-up Gilgamesh",0,"wind-up Gilgameshes",0,0,1,0,0,"ModelChara#756",100,10,0,0,0,"Obedient",0,0,0,8,68,False,True,False,True,False,0,,True,4476,9501,True,0,25,485,5,360,30,"Monster",600,3
86,"Onion Prince",0,"Onion Princes",0,1,1,0,0,"ModelChara#742",100,10,20,0,0,"Independent",0,0,0,8,42,True,False,True,False,True,0,,True,4477,1025,True,0,15,440,31,0,30,"Critter",620,1
87,"Eggplant Knight",0,"Eggplant Knights",0,1,1,0,0,"ModelChara#743",100,15,10,0,0,"Independent",0,0,0,8,42,True,False,True,False,True,0,,True,4478,1025,True,0,15,415,12,360,20,"Critter",626,1
88,"Garlic Jester",0,"Garlic Jesters",0,0,1,0,0,"ModelChara#744",100,15,10,0,0,"Independent",0,0,0,8,42,True,False,True,False,True,0,,True,4479,1025,True,0,15,435,11,360,20,"Critter",617,1
89,"Tomato King",0,"Tomato Kings",0,0,1,0,0,"ModelChara#745",100,10,10,0,0,"Independent",0,0,0,8,42,True,False,True,False,True,0,,True,4480,1025,True,0,20,355,9,0,20,"Critter",620,1
90,"Mandragora Queen",0,"Mandragora Queens",0,0,1,1,0,"ModelChara#746",100,25,5,0,0,"Independent",0,0,0,8,42,True,False,True,False,True,0,,True,4481,1025,True,0,30,560,27,360,30,"Critter",615,1
91,"wind-up Y'shtola",0,"wind-up Y'shtolas",0,0,1,1,0,"ModelChara#750",100,10,0,0,0,"Obedient",0,0,0,8,262,False,True,False,True,False,0,,True,4500,9001,True,0,25,435,12,360,20,"Critter",618,3
92,"wind-up onion knight",0,"wind-up onion knights",0,0,1,0,0,"ModelChara#749",100,10,0,0,0,"Obedient",0,0,0,8,240,False,True,False,True,False,0,,True,4482,12031,True,90,15,430,21,0,20,"Critter",620,3
93,"treasure box",0,"treasure boxes",0,0,1,0,0,"ModelChara#747",100,5,10,0,0,"Independent",0,0,0,8,56,True,False,True,False,False,0,,True,4483,1040,True,0,15,390,8,30,20,"Critter",621,2
94,"tiny tapir",0,"tiny tapirs",0,0,1,0,0,"ModelChara#754",80,30,0,0,0,"Independent",0,0,0,8,57,True,False,True,False,True,0,,True,4484,3001,True,0,10,390,23,120,30,"Critter",631,1
95,"Nana bear",0,"Nana bears",0,0,1,0,0,"ModelChara#752",100,20,0,0,0,"Obedient",0,0,0,8,238,False,True,False,True,False,0,,True,4485,3002,True,0,10,380,1,30,20,"Critter",604,1
96,"miniature minecart",0,"miniature minecarts",0,0,1,0,0,"ModelChara#753",100,10,0,0,0,"Obedient",0,0,0,8,0,False,False,False,False,False,0,,True,4486,11505,True,0,15,415,25,360,20,"Critter",625,4
97,"nutkin",0,"nutkins",0,0,1,0,0,"ModelChara#755",100,10,0,0,30,"Independent",1,0,0,8,59,True,False,True,False,True,0,,True,4487,3003,True,0,30,450,36,360,30,"Critter",634,1
98,"wind-up Minfilia",0,"wind-up Minfiliae",0,0,1,1,0,"ModelChara#797",100,10,0,0,0,"Obedient",0,0,0,8,262,False,True,False,True,False,0,,True,4488,9002,True,0,20,400,1,30,20,"Critter",604,3
99,"wind-up Thancred",0,"wind-up Thancreds",0,0,1,0,0,"ModelChara#796",100,10,0,0,0,"Obedient",0,0,0,8,262,False,True,False,True,False,0,,True,4489,9003,True,0,20,450,35,360,30,"Critter",634,3
100,"model magitek bit",0,"model magitek bits",0,0,1,0,0,"ModelChara#1016",100,10,0,0,0,"Independent",0,0,0,8,0,False,False,False,False,False,0,"ui/icon/000000/000001.tex",True,4516,11005,True,0,30,455,1,30,20,"Critter",612,2
101,"puff of darkness",0,"puffs of darkness",0,0,1,0,0,"ModelChara#1017",80,10,0,0,0,"Obedient",2,0,0,8,232,False,True,False,True,False,0,,True,4517,2101,True,0,30,540,4,30,20,"Monster",612,2
102,"naughty nanka",0,"naughty nankas",0,0,1,0,0,"ModelChara#808",100,30,0,0,0,"Independent",0,0,0,8,60,True,False,True,False,False,0,,True,4490,1041,True,0,15,415,11,360,20,"Critter",617,2
103,"panda cub",0,"panda cubs",0,0,1,0,0,"ModelChara#816",100,20,0,0,0,"Obedient",0,0,0,8,241,False,True,True,False,False,0,,True,4491,3004,True,0,15,450,35,360,30,"Critter",634,1
104,"wind-up Ultros",0,"wind-up Ultroses",0,0,1,0,0,"ModelChara#799",100,30,0,0,0,"Obedient",11,0,0,8,237,False,True,True,True,False,0,,True,4504,9503,True,0,20,395,18,360,30,"Critter",624,2
105,"Hoary the Snowman",0,"Hoary the Snowmen",0,0,1,0,0,"ModelChara#803",100,20,0,0,0,"Obedient",0,0,0,8,220,False,True,False,True,False,0,,True,4505,11507,True,0,15,420,44,0,30,"Critter",620,3
106,"heavy hatchling",0,"heavy hatchlings",0,0,1,0,0,"ModelChara#800",100,1,0,0,0,"Obedient",0,0,0,8,0,False,False,False,False,True,0,,True,4506,7,True,90,15,360,42,0,20,"Critter",620,1
107,"wind-up Yda",0,"wind-up Ydas",0,0,1,1,0,"ModelChara#878",100,10,0,0,0,"Obedient",0,0,0,8,262,False,True,False,True,False,0,,True,4501,9004,True,0,25,460,1,30,20,"Critter",606,3
108,"wind-up Papalymo",0,"wind-up Papalymos",0,0,1,0,0,"ModelChara#879",100,10,0,0,0,"Obedient",0,0,0,8,262,False,True,False,True,False,0,,True,4502,9005,True,0,20,420,20,120,20,"Critter",633,3
109,"wind-up Urianger",0,"wind-up Uriangers",0,0,1,0,0,"ModelChara#880",100,10,0,0,0,"Obedient",0,0,0,8,262,False,True,False,True,False,0,,True,4503,9006,True,0,20,435,1,120,20,"Critter",616,3
110,"fat cat",0,"fat catz",0,0,1,0,0,"ModelChara#802",100,10,0,0,0,"Obedient",0,0,0,8,61,True,False,False,False,True,0,,True,4507,3005,True,0,10,380,12,360,20,"Monster",626,1
111,"Littlefoot",0,"Littlefeet",0,0,1,0,0,"ModelChara#801",100,10,0,0,0,"Independent",0,0,0,8,62,True,False,True,False,True,0,,True,4508,1042,True,0,15,410,1,30,20,"Critter",611,2
112,"mummy's little mummy",0,"mummy's little mummies",0,0,1,0,0,"ModelChara#798",100,5,10,0,0,"Independent",0,0,0,8,63,True,False,False,True,False,0,,True,4509,1043,True,0,15,475,23,30,20,"Monster",613,2
113,"model Enterprise",0,"model Enterprises",0,0,1,1,0,"ModelChara#887",100,10,0,0,0,"Obedient",0,0,0,8,0,False,False,False,False,False,0,,True,4497,11002,True,0,20,460,1,120,20,"Monster",629,4
114,"wind-up delivery moogle",0,"wind-up delivery moogles",0,0,1,0,0,"ModelChara#809",100,5,10,0,0,"Obedient",4,0,0,8,233,False,True,False,False,False,0,,True,4498,11,True,0,20,370,14,120,20,"Critter",614,3
115,"assassin fry",0,"assassin fry",0,1,1,0,0,"ModelChara#807",100,10,5,0,0,"Independent",5,0,0,8,64,True,False,False,True,True,0,,True,4510,4002,True,0,10,425,2,30,20,"Monster",603,1
116,"demon box",0,"demon boxes",0,0,1,0,0,"ModelChara#805",100,10,10,0,0,"Independent",0,0,0,8,65,True,False,False,True,False,0,,True,4513,11508,True,0,30,530,37,0,20,"Monster",620,1
117,"water imp",0,"water imps",0,0,1,0,0,"ModelChara#886",60,10,0,0,0,"Independent",0,0,0,8,66,True,False,False,False,True,0,,True,4511,12901,True,0,20,430,13,120,20,"Critter",605,1
118,"wind-up Louisoix",0,"wind-up Louisoixs",0,0,1,0,0,"ModelChara#881",100,10,0,0,0,"Obedient",0,0,0,8,267,False,True,False,True,False,78,,True,4512,9007,True,0,15,410,27,360,30,"Monster",615,3
119,"Midgardsormr",0,"Midgardsormrs",0,0,1,0,1,"ModelChara#883",100,10,0,0,0,"Independent",2,0,0,8,0,False,False,False,False,True,0,,True,4518,9504,True,0,25,435,33,0,20,"Critter",620,1
120,"",0,"",0,0,0,0,0,"ModelChara#0",0,0,0,0,0,"",0,0,0,0,0,False,False,False,False,False,0,,False,0,0,False,0,0,0,0,0,0,"",0,0
121,"Doman magpie",0,"Doman magpies",0,0,1,0,0,"ModelChara#1337",80,30,0,0,0,"Independent",0,0,0,8,10,True,False,True,False,True,0,,True,4556,5002,True,0,15,310,10,0,20,"Critter",620,1
