key,0,1,2,3,4,5,6,7,8,9,10,11,12
30,"ui/icon/196000/196106.tex",,1,0,0,0,"BannerCondition#523",0,0,0,7,3950,"10e anniversaire"
31,"ui/icon/196000/196107.tex",,1,0,0,0,"BannerCondition#529",0,0,0,8,2343,"Grand pêcheur"
32,"ui/icon/196000/196108.tex",,1,0,0,0,"BannerCondition#530",0,0,0,8,2344,"Pêcheur de légendes"
33,"ui/icon/196000/196109.tex","ui/icon/196000/196351.tex",1,0,0,0,"BannerCondition#531",0,0,0,8,2350,"Tuiles essentielles"
34,"ui/icon/196000/196206.tex","ui/icon/196000/196456.tex",1,0,0,0,"BannerCondition#567",0,0,0,3,2305,"Quêtes des Vanu Vanu"
35,"ui/icon/196000/196207.tex","ui/icon/196000/196457.tex",1,0,0,0,"BannerCondition#568",0,0,0,3,2306,"Quêtes des Gnathes"
36,"ui/icon/196000/196208.tex","ui/icon/196000/196458.tex",1,0,0,0,"BannerCondition#569",0,0,0,3,2307,"Quêtes des Mogs"
37,"ui/icon/196000/196113.tex",,1,0,0,0,"BannerCondition#572",0,0,0,3,2252,"Le Mythe éorzéen"
38,"ui/icon/196000/196112.tex",,1,0,0,0,"BannerCondition#573",0,0,0,3,2250,"La Tarufacture de Tataru"
39,"ui/icon/196000/196110.tex",,2,0,0,0,"BannerCondition#570",0,0,0,8,2351,"Aventures imaginaires de Khloe"
40,"ui/icon/196000/196111.tex",,1,0,0,0,"BannerCondition#571",0,0,0,8,2352,"Touché-tourné"
41,"ui/icon/196000/196114.tex",,1,0,0,0,"BannerCondition#575",0,0,0,7,3951,"Blunderville 1"
42,"ui/icon/196000/196115.tex",,1,0,0,0,"BannerCondition#576",0,0,0,7,3952,"Blunderville 2"
43,"ui/icon/196000/196116.tex",,1,0,0,0,"BannerCondition#577",0,0,0,7,3953,"Blunderville 3"
44,"ui/icon/196000/196117.tex",,1,0,0,0,"BannerCondition#607",0,0,0,7,3954,"Yo-kai Watch"
45,"ui/icon/196000/196204.tex","ui/icon/196000/196454.tex",1,0,0,0,"BannerCondition#694",0,0,0,3,2302,"Quêtes des Kobolds"
46,"ui/icon/196000/196202.tex","ui/icon/196000/196452.tex",1,0,0,0,"BannerCondition#695",0,0,0,3,2301,"Quêtes des Sylphes"
47,"ui/icon/196000/196201.tex","ui/icon/196000/196451.tex",1,0,0,0,"BannerCondition#696",0,0,0,3,2300,"Quêtes des Amalj'aa"
48,"ui/icon/196000/196205.tex","ui/icon/196000/196455.tex",2,0,0,0,"BannerCondition#697",0,0,0,3,2303,"Quêtes des Sahuagins"
49,"ui/icon/196000/196203.tex","ui/icon/196000/196453.tex",1,0,0,0,"BannerCondition#698",0,0,0,3,2304,"Quêtes des Ixali"
50,"ui/icon/196000/196062.tex",,1,0,0,0,"BannerCondition#701",0,0,0,9,1036,"Tuliyollal 1"
51,"ui/icon/196000/196063.tex",,1,0,0,0,"BannerCondition#702",0,0,0,9,1037,"Tuliyollal 2"
52,"ui/icon/196000/196064.tex",,1,0,0,0,"BannerCondition#699",0,0,0,9,1038,"Solution Neuf 1"
53,"ui/icon/196000/196065.tex",,2,0,0,0,"BannerCondition#700",0,0,0,9,1039,"Solution Neuf 2"
54,"ui/icon/196000/196218.tex","ui/icon/196000/196468.tex",1,0,0,0,"BannerCondition#767",0,0,0,3,2317,"Quêtes des Pelupelu"
55,"ui/icon/196000/196054.tex",,1,0,0,0,"BannerCondition#768",0,0,0,9,1020,"Ishgard 1"
56,"ui/icon/196000/196072.tex",,1,0,0,0,"BannerCondition#769",0,0,0,9,1021,"Ishgard 2"
57,"ui/icon/196000/196055.tex",,2,0,0,0,"BannerCondition#770",0,0,0,9,1022,"Idyllée 1"
58,"ui/icon/196000/196073.tex",,1,0,0,0,"BannerCondition#771",0,0,0,9,1023,"Idyllée 2"
59,"ui/icon/196000/196056.tex",,1,0,0,0,"BannerCondition#772",0,0,0,9,1024,"Kugane 1"
60,"ui/icon/196000/196068.tex",,2,0,0,0,"BannerCondition#773",0,0,0,9,1025,"Kugane 2"
61,"ui/icon/196000/196057.tex",,1,0,0,0,"BannerCondition#774",0,0,0,9,1026,"L'Étendue de Rhalgr 1"
62,"ui/icon/196000/196069.tex",,1,0,0,0,"BannerCondition#775",0,0,0,9,1027,"L'Étendue de Rhalgr 2"
63,"ui/icon/196000/196058.tex",,1,0,0,0,"BannerCondition#776",0,0,0,9,1028,"Cristarium 1"
64,"ui/icon/196000/196070.tex",,1,0,0,0,"BannerCondition#777",0,0,0,9,1029,"Cristarium 2"
65,"ui/icon/196000/196059.tex",,1,0,0,0,"BannerCondition#778",0,0,0,9,1030,"Eulmore 1"
66,"ui/icon/196000/196071.tex",,1,0,0,0,"BannerCondition#779",0,0,0,9,1031,"Eulmore 2"
67,"ui/icon/196000/196060.tex",,1,0,0,0,"BannerCondition#780",0,0,0,9,1032,"Vieille Sharlayan 1"
68,"ui/icon/196000/196066.tex",,2,0,0,0,"BannerCondition#781",0,0,0,9,1033,"Vieille Sharlayan 2"
69,"ui/icon/196000/196061.tex",,1,0,0,0,"BannerCondition#782",0,0,0,9,1034,"Radz-at-Han 1"
70,"ui/icon/196000/196067.tex",,1,0,0,0,"BannerCondition#783",0,0,0,9,1035,"Radz-at-Han 2"
71,"ui/icon/196000/196118.tex",,1,0,0,0,"BannerCondition#872",0,0,0,4,2505,"Futures Rewritten"
72,,,0,0,0,0,"BannerCondition#0",0,0,0,0,0,""
73,,,0,0,0,0,"BannerCondition#0",0,0,0,0,0,""
74,,,0,0,0,0,"BannerCondition#0",0,0,0,0,0,""
