key,0,1,2
11,"","",""
12,"","",""
13,"","",""
14,"","",""
15,"Vous appelez l'étrange licorne que vous avez rencontrée dans la Sylve, peut-être une des dernières de son espèce.","Rares sont ceux qui ont l'occasion d'apercevoir un de ces nobles équidés, même dans leur Coerthas natal. Cette licorne a décidé de rester à vos côtés après que vous l'avez soignée.","Hiiiiiii<Indent/>!!"
16,"","",""
17,"","",""
18,"Vous appelez votre monture béhémoth. Ce jeune béhémoth vigoureux a été élevé par l'homme, il est apprivoisé.","Immédiatement après le Fléau, un aventurier voyageant dans une région reculée du Coerthas a trouvé des bébés béhémoth dont la mère avait péri dans les flammes de Bahamut. Il les a élevés et est parvenu à les dresser, à la surprise de tous ses proches.","Grrr..."
19,"Vous appelez votre monture draconide. Élevé par la Ligue des cendres, ce draconide de combat est habitué à la présence humaine.","Le dressage d'un draconide de cavalerie est un processus long et ardu. Séparés im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment de leur mère, ils sont rapidement sevrés par leur dresseur, qui les nourrit de glandes calorifères de vieux draconides pour s'assurer qu'ils soient à la
fois dociles et meurtriers.","Ssss..."
20,"Vous appelez votre monture goobbue couronné. Ce goobbue est un bon ami des Sylphes.","Les Dénaturés se sont méchamment amusés à arracher la mousse qui recouvrait le crâne de ce goobbue. Le chef des Sylphes du Refuge a eu pitié de lui et l'a soigné, puis lui a con<SoftHyphen/>fec<SoftHyphen/>tion<SoftHyphen/>né une couronne de lauriers pour cacher ses
cicatrices.","Hmph..."
21,"Vous pouvez appeler à vous une armure magitek. Ce modèle de type faucheuse bénéficie d'un revêtement spécial résistant à la magie.","Garlemald a vite réalisé après quelques combats contre l'Alliance éorzéenne que ses armures ne faisaient pas le poids face à la puissance des mages. L'Empire a alors mis au point ce prototype revêtu d'un enduit doré capable de résister
aux attaques magiques.","Autorisation en cours..."
22,"Vous appelez l'alicorne de jais. Cette licorne fauve a été apprivoisée, mais elle reste ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment belliqueuse et implacable.","Personne ne sait pourquoi les Asciens ont décidé d'offrir ces bêtes féroces aux tribus barbares. Elles sont de nature agressive et tenace, mais également com<SoftHyphen/>plè<SoftHyphen/>te<SoftHyphen/>ment loyales à ceux qui possèdent une flûte enchantée.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
23,"","",""
24,"","",""
25,"Vous appelez votre monture gros chocobo. Assurez-vous qu'il y ait assez de place afin qu'il ne reste pas coincé dans le décor.","Gros est un euphémisme pour décrire cet animal. Sa gloutonnerie n'est jamais satisfaite, et il ne bougera pas une plume pour vous... à moins que vous ne lui  promettiez des légumes de Gysahl, auquel cas rien ne l'arrêtera<Indent/>!","Kwouf... Kwouf..."
26,"Vous appelez votre monture elbst. Élevé par Pahh de la Couvée de Novv, cet elbst est habitué à la présence humaine.","Pahh à la Couvée de Novv coupe la palmure de ces elbsts lorsqu'ils sont jeunes afin qu'ils soient capables de courir sur terre aussi vite que les chocobos. Mal<SoftHyphen/>heu<SoftHyphen/>reu<SoftHyphen/>se<SoftHyphen/>ment, ce procédé réduit leur vitesse de nage.","Splrrr..."
27,"Vous appelez votre balancelle bombo. Ce banc suspendu est tracté par des bombos gazeux. Ne pas appeler en présence de flammes.","Après avoir compris que ses bombos ne seraient jamais des explosifs satisfaisants, l'acolyte du 789e ordre Ba Go a décidé de faire la seule chose raisonnable<Indent/>: attacher les créatures à un banc pour en faire un véhicule.","(crépitement)"
28,"Vous appelez Aithon, le destrier légendaire d'Ifrit. Son souffle est empreint de flammes brûlantes comme la braise.","On raconte que le Primordial Ifrit, le Seigneur des flammes, a forgé ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Amalj'aa.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
29,"Vous appelez Xanthos, le destrier légendaire de Garuda. Il file comme le vent, ou plutôt les rafales cinglantes de sa maîtresse.","On raconte que la Primordiale Garuda, la Souffleuse de rafales, a créé ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Ixali.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
30,"Vous appelez Gullfaxi, le destrier légendaire de Titan. Il frappe la terre de ses sabots avec conviction.","On raconte que le Primordial Titan, l'Ébranleur des terres, a conçu ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Kobolds.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
31,"Vous appelez Enbarr, le destrier légendaire de Léviathan. La légende dit qu'il serait né d'une écume magique.","On raconte que le Primordial Léviathan, le Déchaîneur des marées, a donné naissance à ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Sahuagins.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
32,"Vous appelez votre monture lion de guerre. Ce fauve majestueux a été entraîné au combat. Il a la prestance d'un roi des animaux.","Les lions ont été importés du Proche-Orient afin de servir de montures aux casques d'argent. Jugés trop im<SoftHyphen/>pré<SoftHyphen/>vi<SoftHyphen/>si<SoftHyphen/>bles, ceux qui n'ont pas été vendus au Colisée ont été relâchés dans le Thanalan, et ils sont finalement retournés à l'état sauvage.","Grooaaar<Indent/>!"
33,"Vous appelez votre monture ours de guerre. Cet ursidé imposant a été entraîné au combat. Il a tenu tête à de nombreux adversaires.","Autrefois, les guerriers en quête de gloire avaient coutume de s'aventurer dans les montagnes septentrionales d'Abalathia à la recherche de féroces grizzlys pour les combattre et les soumettre par la force. Ceux qui survivaient revenaient dans leur village en chevauchant fièrement leur
nouvelle monture.","Grrr<Indent/>!"
34,"Vous appelez un robuste chocobo capable de supporter le poids de deux cavaliers.","Les premiers chocobos de cette race ont été découverts et capturés par des chasseurs ishgardais en quête de la légendaire forêt des chocobos. Leur taille et leur robustesse en font d'excellents animaux de bât, mais leur tempérament
violent les rend impropres
à la monte.","Kwé Kwé Kwééé<Indent/>!"
35,"Vous appelez un terrifiant loup sinistre, descendant d'une ancienne race de loup de guerre.","Les loups sinistres étaient considérés comme une race éteinte jusqu'à ce que des Ixali découvrent une meute isolée dans les vallées de Xelphatol. Après avoir capturé quelques louveteaux, ils les ont élevés, non sans difficultés, pour en faire des montures de guerre. Ils sont énormes, et ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment loyaux.","Aouuuh<Indent/>!"
36,"Vous appelez votre cheval de guerre du Maelstrom, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures
aux soldats se distinguant
au combat.","Brrr<Indent/>!"
37,"Vous appelez votre cheval de guerre de l'ordre des Deux Vipères, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures
aux soldats se distinguant
au combat.","Brrr<Indent/>!"
38,"Vous appelez votre cheval de guerre des Immortels, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures
aux soldats se distinguant
au combat.","Brrr<Indent/>!"
39,"","",""
40,"Vous appelez Markab, le destrier légendaire de Ramuh. Son hennissement crépite comme la foudre.","On raconte que le Primordial Ramuh, le Patriarche fulgurant, a engendré ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Sylphes.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
41,"Vous appelez votre chocobo de cérémonie. Cette monture parée d'une barde destinée au lien éternel permet de monter à deux.","Ce fier volatile élevé dans l'un des meilleurs haras ishgardais a été dressé pour parader lors de cérémonies. Issus de croisements précis, il possède un plumage d'un blanc immaculé et un caractère des plus dociles.","Kwé..."
42,"Vous appelez Sleipnir, le terrible destrier d'Odin. Ses yeux brillent d'un éclat rouge malveillant.","Ce destrier à l'allure terrifiante aurait reçu ses pouvoirs surnaturels d'Odin, le Chevalier des ombres. Lorsqu'il galope, sa crinière rouge sang ondule comme pour annoncer leur trépas à ceux qui ont la malchance de croiser
son chemin.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
43,"Vous appelez Boréas, le destrier légendaire de Shiva. Il glace l'air de son souffle.","On raconte que Shiva, la Furie des neiges, aurait choisi une licorne du Coerthas pour souffler un froid glacial sur les terres qu'elle parcourait. C'est en recevant ce pouvoir que la créature aurait changé d'apparence.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
44,"Vous appelez un gros chocobo à la démarche gracieuse et paré élégamment pour parader.","Ce volatile à l'appétit insatiable aurait été livré à la guilde des aventuriers lorsque celle-ci commanda des chocobos de stature imposante à un marchand. Bien trop coûteux à entretenir, la guilde décida de les offrir à certains aventuriers pour
saluer leurs exploits.","Kwa, kwa<Indent/>?"
45,"Vous appelez votre chocobo noir. Cet oiseau de la race des volants a été entraîné au vol dès son plus jeune âge.","Un chocobo noir natif d'Ishgard, de la race des “volants”. Sire Haurchefant de la maison Fortemps a élevé lui-même ce spécimen, qu'il destinait à un ami cher, et lui a fait subir un en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment de son cru. Curieusement, l'animal semble
musclé...","Kwékwé<Indent/>!"
46,"Vous appelez une adamankhélone. Malgré sa taille imposante, cette tortue originaire du Proche-Orient est très véloce.","Les adamankhélones proviennent de la lointaine île de Thavnair. Les scien<SoftHyphen/>ti<SoftHyphen/>fi<SoftHyphen/>ques uldiens ont longtemps cherché à les apprivoiser afin de pouvoir profiter de leur force prodigieuse. Grâce au concours des occultistes, de nombreux spécimens ont été dressés à être montés, et certains sont même désormais capables de voyager dans les airs.","Badam, badam..."
47,"Vous appelez Kirin, un destrier légendaire venu des contrées orientales.","Ce destrier légendaire, qui règne sur les autres créatures, a vécu des millénaires. Un ermite a fabriqué le “cor oriental” nécessaire pour l'appeler, mais on dit que seul un héros aussi vaillant que sage verra cette monture se
présenter devant lui.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
48,"Vous appelez un module de déplacement sphérique. Cet appareil a été conçu dans l'ancien empire d'Allag à des fins multiples, mais surtout défensives.","Les archéologues de la Fondation de Saint-Coinach ont découvert ce module, dont le désarmement a été confié aux bons soins de Nero tol Scaeva. Les frais ont été remboursés lors de la revente de l'appareil, mais les réglages semblent avoir été faits à la va-vite. L'appareil s'agite parfois, comme
s'il se préparait à abattre sa cible...","Mise à jour en cours...
Ne pas éteindre le module."
49,"Vous appelez Fenrir, le loup gigantesque qui erre dans les régions reculées des montagnes d'Abalathia.","Ce canidé sauvage, dont les Éorzéens croyaient l'espèce disparue depuis longtemps, régnait autrefois en Éorzéa. On l'appelle “Fenrir” de par sa ressemblance avec la créature légendaire du même nom. Le froid des montagnes d'Abalathia aurait-il ressuscité ces bêtes<Indent/>?","Aouuuuh<Indent/>!"
50,"Vous appelez Midgardsormr.","Une progéniture engendrée par Midgardsormr, le père de tous les dragons. Un Guerrier de la Lumière ayant vaincu tous les dragons est, d'après lui, digne de le chevaucher. Il a changé de forme de façon à pouvoir être monté.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
51,"","",""
52,"Vous appelez un robuste chocobo rouge, capable de supporter le poids de deux cavaliers.","Oiseau de grande taille capturé dans la forêt des chocobos de Dravania, il arbore un ton rouge rare chez les spécimens sauvages. Cette couleur étant celle de l'amour et de la fraternité à Ishgard, c'est la monture idéale pour les
in<SoftHyphen/>sé<SoftHyphen/>pa<SoftHyphen/>ra<SoftHyphen/>bles.","Kwé, kwéééh<Indent/>!"
53,"Vous appelez votre sanuwa personnel, spé<SoftHyphen/>cia<SoftHyphen/>le<SoftHyphen/>ment entraîné pour la monte par le marchand gundu Luna Vanu.","Luna Vanu a passé plusieurs lunes à entraîner ce farouche sanuwa à obéir à l'homme en attendant qu'un aventurier digne de le monter se présente. Il est si puissant qu'il peut voler sans difficultés même face à la plus terrible des tempêtes.","Guuuoooh<Indent/>!"
54,"Vous appelez votre griffon, un animal ailé originaire des montagnes d'Abalathia.","Cet animal ailé originaire des montagnes d'Abalathia est ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment féroce. La Cité d'Ala Mhigo a cependant réussi par le passé à l'utiliser comme monture en le dressant strictement dès son plus jeune âge. Cette nation avait même constitué un escadron monté utilisant
ces animaux.","Groaaahr<Indent/>!"
55,"Vous appelez le Manacutter, un aéronef miniature mis au point par les Forges de Garlond.","Le Manacutter est un aéronef de petite taille conçu par Wedge et Biggs des Forges de Garlond sur une supervision de Cid nan Garlond. C'est le tout premier modèle embarquant un convertisseur fon<SoftHyphen/>ction<SoftHyphen/>nant au moyen de cristaux corrompus.","VRRRH..."
56,"Vous appelez votre monture panthère de guerre. Ce félin énigmatique a été entraîné au combat. Il fond sur sa proie en un instant, discret comme une ombre.","Ce félin proche du coeurl a été dressé pour le combat. Il possède la capacité naturelle d'augmenter ses ca<SoftHyphen/>rac<SoftHyphen/>té<SoftHyphen/>ris<SoftHyphen/>ti<SoftHyphen/>ques physiques grâce à la magie pour chasser. On raconte qu'il aurait ainsi inspiré les premiers chevaliers noirs pour leurs techniques d'épée.","Rawrh..."
57,"","",""
58,"Vous appelez votre gobblindé, un engin mis au point par l'or<SoftHyphen/>ga<SoftHyphen/>ni<SoftHyphen/>sa<SoftHyphen/>tion scien<SoftHyphen/>ti<SoftHyphen/>fi<SoftHyphen/>que gobeline de la Main indigo.","Conçu à l'origine pour remplacer les raptors de trait, cet engin a rapidement été transformé en machine de guerre par les Gobelins de la Main indigo. Ce modèle ne dispose pas de munition et ne peut, par conséquent, pas attaquer.","Kling klang<Indent/>!"
59,"Vous appelez Gémellia. Cette wyverne ancienne originaire de Méracydia rêve secrètement de retrouver sa liberté... et de vous dévorer.","Vouée à la servitude éternelle grâce au dispositif qu'elle porte autour du cou, cette wyverne ancienne originaire de Méracydia restera un fidèle serviteur aussi longtemps que vous posséderez la clef d'identification de son neurolien.","Grrrh<Indent/>!"
60,"","",""
61,"","",""
62,"Vous appelez votre balai de sorcière. Tenez-le bien ou il s'envolera en un “fschuiii”<Indent/>!","Autrefois relégué à des tâches de second ordre comme le balayage et... le balayage, ce balai a vu sa vie prendre un tournant décisif le jour où il a été enchanté par la femme à tête de citrouille. Depuis, ce ne sont plus les déchets qu'il
chasse, mais les nuages<Indent/>!","Fschuiii<Indent/>!"
63,"","",""
64,"","",""
65,"","",""
66,"","",""
67,"Vous appelez Pégase, le légendaire cheval ailé.","Bien que des rumeurs d'un cheval ailé soient apparues dans divers écrits à travers les siècles, jusqu'à récemment, il n'y avait aucune preuve de son existence, si l'on excepte les quelques plumes et fers à cheval pré<SoftHyphen/>cieu<SoftHyphen/>se<SoftHyphen/>ment
gardés dans les reliquaires
de monastères oubliés.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
68,"Vous appelez à vous l'armure magitek personnelle de Livia sas Junius.","Ce chef-d'œuvre de l'ingénierie impériale est l'armure de combat personnelle de Livia sas Junius, commandante de la 14e légion, et celle qu'elle pilotait pendant l'invasion de l'empire de Garlemald.","Clang, clang<Indent/>!"
69,"Vous appelez à vous l'armure magitek personnelle de Nero tol Scaeva.","Sans cesse modifiée et améliorée par Nero lui-même, cette machine de guerre garlemaldaise ressemble à peine à l'armure magitek reçue par tol Scaeva le jour de sa promotion au rang de commandant.","Vuuuuiiiiii<Indent/>!"
70,"Vous appelez à vous votre terrifiante mais loyale wyverne.","Cette wyverne reste fidèle à la promesse qu'elle a faite à un chevalier il y a plus d'un millénaire et continue à protéger les cieux des forces du mal, ignorant l'appel de ses congénères pour lutter contre les humains.","Vers les cieux, compagnon<Indent/>!"
71,"Vous appelez à vous le véhicule à deux roues SLE Fenrir, un artefact venu d'un autre âge, peut-être même d'un autre monde.","Ce véhicule tire son nom du légendaire loup argenté Fenrir. Son incroyable puissance en chocobos-vapeur lui permettent d'atteindre des vitesses im<SoftHyphen/>pres<SoftHyphen/>sion<SoftHyphen/>nantes. Le sigle apposé viendrait d'un service de convoyage “Strife - Livraison Express”.","SLE！"
72,"Vous appelez votre kongamato, élevé avec amour par Moucham.","Après son éclosion sur les bords d'une rivière, le kongamato passe le début de sa vie sur les eaux. Sa maturité est marquée par le début de sa transformation, durant laquelle ses ailes poussent et il apprend à s'élever dans les airs.","Vzuuun<Indent/>!"
73,"Vous appelez votre féroce zu. Ses lourdes ailes l'ont transporté ici depuis le Proche-Orient.","Cet oiseau massif chasse en saisissant sa proie dans son bec semblable à une scie. Il l'achève ensuite en secouant violemment son long cou, avant de l'avaler goulûment.","Graoooh<Indent/>!"
74,"Vous appelez votre terrible bénou. Rares sont ceux qui ont eu la chance d'admirer cette créature de près.","Cet oiseau est devenu plus puissant que jamais après avoir baigné dans l'éther qui ruisselait du corps de l'immortel Phénix, lors de la bataille de Carteneau. Son nom lui vient d'un ancien oiseau légendaire. Il signifie “celui qui s'élève et brille de mille feux”.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
75,"Vous appelez votre faucon des brumes, béni par le Primordial Bismarck.","Chevauchés par les fiers guerriers vanu vanu, ces oiseaux virevoltent au milieu des épais nuages de L'Écume des cieux, dans la suite de Bismarck. La grâce avec laquelle ils planent dans les airs évoque un pétale de fleur porté par les
délicats vents du ponant.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
76,"Vous appelez votre faucon des lames, béni par le Primordial Ravana.","Ces faucons sont assez féroces pour inspirer la peur aux plus braves guerriers, et leurs serres tranchent la chair aussi facilement que les Chandrahas elles-mêmes. Quiconque voudrait monter un de ces oiseaux se doit d'avoir en lui
la sauvagerie qui définit
le Maître des lames.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
77,"Vous appelez votre faucon de la Table ronde, béni par le roi Thordan.","L'allure de ces faucons leur confère une dignité au moins égale à celle du noble roi qu'ils servent. Les anciens chevaliers ishgardais pratiquaient souvent la fauconnerie, et ces oiseaux ont depuis toujours été prisés pour leur ex<SoftHyphen/>traor<SoftHyphen/>di<SoftHyphen/>nai<SoftHyphen/>re
habileté à la chasse.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
78,"Vous appelez votre faucon séphirotique, béni par la divinité Sephirot.","Ces faucons sont enveloppés d'une aura verdoyante qui révèle la nature sauvage de leur maître. D'après les légendes d'une ancienne tribu d'êtres végétaux de Méracydia, ce sont eux qui ont transporté les graines qui ont fait naître les
forêts sur les continents.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
79,"","",""
80,"Vous appelez le Gloria, aéronef monoplace véritable bijou de technologie.","S'inspirant du récit hésitant d'un rêve de son grand-père Tatanora, Tataramu a mis en pratique son savoir encyclopédique pour concevoir un petit modèle d'aéronef à rotors multiples. Son nom lui vient d'un obscur roman oublié.","BRRZZZ..."
81,"Vous appelez votre nuage magique. Son précédent pro<SoftHyphen/>prié<SoftHyphen/>taire était-il un petit garçon avec une queue, ou tout simplement un singe<Indent/>?","Il n'est qu'un seul homme qui soit capable de créer un tel prodige, et on dit qu'il réside au sommet d'un pic couvert de brume dans la région extrême-orientale de Doma. Seuls ceux qui ont le cœur pur parviendront à monter sur ce nuage...","Fuuuiii<Indent/>!"
82,"Vous appelez votre monture gros chocobo original. Les autres ne seraient-ils que de pâles copies<Indent/>?","C'est le chocobo pionnier, celui-là même qui a inspiré des générations entières de volatiles en surpoids. Même si la plupart des chocobos modernes ont un plumage jaune, celui-ci est d'une blancheur immaculée, du moins quand il ne
s'est pas taché en avalant
goulûment son repas.","Kwouf... Kwouuuf..."
83,"Vous appelez votre monture Astérope. Ce cheval ailé géant peut être chevauché à deux.","Ce spécimen de cheval ailé s'est développé au fil des temps au point de pouvoir supporter deux cavaliers. Malgré son caractère farouche, il accepte de prendre sur son dos ceux en qui il ressent une gentillesse désintéressée.","Hihiiiii<Indent/>!"
84,"Vous appelez votre monture gros Mog. Si gros, qu'on peut le chevaucher à deux. Et non, ce ne sont pas ses petites ailes qui permettent à ce gourmand de voler... c'est la magie.","Ce Mog a un appétit insatiable digne... d'un gros chocobo. Théoriquement, il devrait être incapable de se déplacer dans les airs avec de si petites ailes, mais la magie mog semble capable de défier les lois de la gravité.","Kubbooo..."
85,"","",""
86,"Vous appelez votre monture mogrette. Ce végétal qui se laisse généralement flotter dans les airs a été rendu contrôlable grâce à la magie mog.","Ce végétal qui flotte généralement dans L'Écume des cieux a semble-t-il des vertus apaisantes pour les Mogs célestes. Et alliant l'utile à l'agréable, ces derniers l'ont transformé en moyen de transport aérien grâce à leur magie.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
87,"Vous appelez votre monture le Whisper. Ce petit aéronef monoplace ressemble à s'y méprendre à un Yo-kai.","Ce petit aéronef, conçu pour ressembler au Yo-kai Whisper, serait digne de figurer comme attraction du Gold Saucer. Ses composants sont paraît-il d'excellente qualité, et bien que le siège semble étroit, il est en réalité très confortable.","Fwhiiisss<Indent/>!"
88,"","",""
89,"","",""
90,"Vous appelez votre monture faucon des ombres. S'il est si sombre, c'est parce qu'il a reçu l'influence maléfique de Nidhogg.","L'influence du dragon maléfique qu'est Nidhogg ne s'arrête pas au conflit qui dure depuis un millénaire entre Dravania et Ishgard. La faune et la flore ont également été touchées, comme le prouve ce faucon dont l'apparence cause parfois la peur
chez les humains.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
91,"Vous appelez votre monture sphère de lévitation. Malgré le temps, cette ancienne machine allagoise semble pouvoir supporter le poids d'une personne.","Cette machine de guerre allagoise a été découverte dans les Basses terres du Coerthas oriental, et bien que son armement soit hors d'état de marche, elle peut encore servir de moyen de transport.","Bip bip... Mise à niveau des systèmes recommandée..."
92,"Vous appelez votre monture tête ailée. Ce morceau de statue a été modifié par magie afin de pouvoir se mouvoir dans les airs.","Cette monture pour le moins étrange et terrifiante a été créée expérimentalement par le Padjal E-Una-Kotor alors qu'il s'intéressait à la statue que les gens d'Amdapor avaient chargée de protéger leur cité.","ADDEEMIAJ..."
93,"Vous appelez votre monture managarm, un féroce canidé ancien vivant au fin fond des montagnes d'Abalathia.","D'après une croyance populaire des habitants des montagnes d'Abalathia, cette créature, qu'on avait longtemps pensé disparue, se nourrit de la lumière du soleil pour poursuivre la lune. Ceci est sûrement dû à la traînée de flammes qu'elle laisse derrière elle en courant dans le ciel.","Aouuuuh<Indent/>!"
94,"Vous appelez votre monture le Whisper II.  Cette version améliorée du petit aéronef monoplace est pourvue d'un deuxième Yo-kai.","Cette version améliorée du petit aéronef inspiré par le majordome Yo-kai Whisper a été créée à la demande des ménestrel et patron errants, pour récompenser les aventuriers qui se sont liés d'amitié avec de nombreux Yo-kai et ont surmonté des épreuves en leur compagnie.","Miaouwhiiisss<Indent/>!"
95,"Vous appelez votre monture Gôten, un destrier d'un autre monde revêtu d'une armure dorée.","Cet étrange destrier revêtu d'une armure dorée ne répond qu'à l'appel des guerriers les plus puissants. Seuls ceux qui ont montré leur valeur au bout d'un en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment au seuil de la mort sont en mesure de le chevaucher.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
96,"Vous appelez votre monture Ginga, un destrier d'un autre monde revêtu d'une armure argentée.","Cet étrange destrier revêtu d'une armure argentée ne répond qu'à l'appel des guerriers ne comptant plus leurs ennemis terrassés. Seuls ceux qui ont montré leur valeur au bout d'un en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment au seuil de la mort sont en mesure de le chevaucher.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
97,"Vous appelez votre monture panda mystique. Ce mystérieux animal, malgré son poids conséquent, serait capable de léviter.","Ce mystérieux panda aurait vécu plus de mille ans en ermite dans les montagnes du continent oriental d'Othard et acquit des pouvoirs surnaturels. Il chercherait le héros qui viendra sauver l'Orient de la poigne de fer de Garlemald.","Miiii<Indent/>! Miiii<Indent/>!"
98,"Vous appelez votre monture faucon sophique, béni par la divinité Sophia.","D'après la légende, lorsque le monde a sombré dans le chaos, la divinité Sophia a envoyé un oiseau divin afin de rapporter l'équilibre. On dit que les héros seraient les poids dont elle s'est servie pour ajuster la balance.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. "
99,"Vous appelez votre monture ours de la fête des étoiles, un animal très intelligent et dressé pour l'occasion.","Cet ours nommé <Switch(PlayerParameter(71))><Case(1)>Kochab</Case><Case(2)><If(PlayerParameter(4))>Kochab<Else/>Polaris</If></Case><Case(3)>Pferkad</Case><Case(4)>Kochab</Case><Case(5)>Polaris</Case><Case(6)><If(PlayerParameter(4))>Kochab<Else/>Polaris</If></Case><Case(7)>Polaris</Case><Case(8)>Kochab</Case></Switch> a été dressé par Baenfaeld pour lancer des pétards et amuser les enfants. Il s'est même servi de ce talent pour attraper les tréants qui volaient les décorations de la fête des étoiles. ","Graaaor<Indent/>!"
