key,0,1,2,3,4,5,6,7
19,"ui/icon/192000/192308.tex","ui/icon/082000/082093.tex",2,"BannerCondition#131",0,0,2007,"Sage Emblem"
20,"ui/icon/192000/192309.tex","ui/icon/082000/082093.tex",2,"BannerCondition#132",0,0,2008,"Monk Emblem"
21,"ui/icon/192000/192310.tex","ui/icon/082000/082093.tex",2,"BannerCondition#133",0,0,2009,"Dragoon Emblem"
22,"ui/icon/192000/192311.tex","ui/icon/082000/082093.tex",2,"BannerCondition#134",0,0,2010,"Ninja Emblem"
23,"ui/icon/192000/192312.tex","ui/icon/082000/082093.tex",2,"BannerCondition#135",0,0,2011,"Samurai Emblem"
24,"ui/icon/192000/192313.tex","ui/icon/082000/082093.tex",2,"BannerCondition#136",0,0,2012,"Reaper Emblem"
25,"ui/icon/192000/192314.tex","ui/icon/082000/082093.tex",2,"BannerCondition#137",0,0,2014,"Bard Emblem"
26,"ui/icon/192000/192315.tex","ui/icon/082000/082093.tex",2,"BannerCondition#138",0,0,2015,"Machinist Emblem"
27,"ui/icon/192000/192316.tex","ui/icon/082000/082093.tex",2,"BannerCondition#139",0,0,2016,"Dancer Emblem"
28,"ui/icon/192000/192317.tex","ui/icon/082000/082093.tex",2,"BannerCondition#140",0,0,2017,"Black Mage Emblem"
29,"ui/icon/192000/192318.tex","ui/icon/082000/082093.tex",2,"BannerCondition#141",0,0,2018,"Summoner Emblem"
30,"ui/icon/192000/192319.tex","ui/icon/082000/082093.tex",2,"BannerCondition#142",0,0,2019,"Red Mage Emblem"
31,"ui/icon/192000/192401.tex","ui/icon/082000/082093.tex",5,"BannerCondition#143",0,0,3000,"Astra Emblem"
32,"ui/icon/192000/192402.tex","ui/icon/082000/082093.tex",5,"BannerCondition#144",0,0,3001,"Umbra Emblem"
33,"ui/icon/192000/192403.tex","ui/icon/082000/082093.tex",5,"BannerCondition#145",0,0,3200,"Final Conflict Crystal 1"
34,"ui/icon/192000/192404.tex","ui/icon/082000/082093.tex",5,"BannerCondition#146",0,0,3201,"Endless Conflict Blades 1"
35,"ui/icon/192000/192405.tex","ui/icon/082000/082093.tex",5,"BannerCondition#147",0,0,3202,"Rising Conflict Blades 1"
36,"ui/icon/192000/192406.tex","ui/icon/082000/082093.tex",5,"BannerCondition#148",0,0,3208,"Bronze Conflict Arms 1"
37,"ui/icon/192000/192407.tex","ui/icon/082000/082093.tex",5,"BannerCondition#149",0,0,3207,"Silver Conflict Arms 1"
38,"ui/icon/192000/192408.tex","ui/icon/082000/082093.tex",5,"BannerCondition#150",0,0,3206,"Gold Conflict Arms 1"
39,"ui/icon/192000/192409.tex","ui/icon/082000/082093.tex",5,"BannerCondition#151",0,0,3205,"Platinum Conflict Arms 1"
40,"ui/icon/192000/192410.tex","ui/icon/082000/082093.tex",5,"BannerCondition#152",0,0,3204,"Diamond Conflict Arms 1"
41,"ui/icon/192000/192411.tex","ui/icon/082000/082093.tex",5,"BannerCondition#153",0,0,3203,"Crystal Conflict Arms 1"
42,"ui/icon/192000/192901.tex","ui/icon/082000/082093.tex",7,"BannerCondition#154",0,0,4000,"Companion Buttons 1"
43,"ui/icon/192000/192902.tex","ui/icon/082000/082093.tex",7,"BannerCondition#155",0,0,4001,"Companion Buttons 2"
44,"ui/icon/192000/192701.tex","ui/icon/082000/082093.tex",4,"BannerCondition#319",0,0,2500,"Unending Coil of Bahamut"
45,"ui/icon/192000/192702.tex","ui/icon/082000/082093.tex",4,"BannerCondition#320",0,0,2501,"Weapon's Refrain"
46,"ui/icon/192000/192703.tex","ui/icon/082000/082093.tex",4,"BannerCondition#321",0,0,2502,"Epic of Alexander"
47,"ui/icon/192000/192704.tex","ui/icon/082000/082093.tex",4,"BannerCondition#322",0,0,2503,"Dragonsong's Reprise"
48,"ui/icon/192000/192412.tex","ui/icon/082000/082093.tex",5,"BannerCondition#323",0,0,3209,"Final Conflict Crystal 2"
49,"ui/icon/192000/192413.tex","ui/icon/082000/082093.tex",5,"BannerCondition#324",0,0,3210,"Endless Conflict Blades 2"
50,"ui/icon/192000/192414.tex","ui/icon/082000/082093.tex",5,"BannerCondition#325",0,0,3211,"Rising Conflict Blades 2"
51,"ui/icon/192000/192415.tex","ui/icon/082000/082093.tex",5,"BannerCondition#326",0,0,3217,"Bronze Conflict Arms 2"
52,"ui/icon/192000/192416.tex","ui/icon/082000/082093.tex",5,"BannerCondition#327",0,0,3216,"Silver Conflict Arms 2"
53,"ui/icon/192000/192417.tex","ui/icon/082000/082093.tex",5,"BannerCondition#328",0,0,3215,"Gold Conflict Arms 2"
54,"ui/icon/192000/192418.tex","ui/icon/082000/082093.tex",5,"BannerCondition#329",0,0,3214,"Platinum Conflict Arms 2"
55,"ui/icon/192000/192419.tex","ui/icon/082000/082093.tex",5,"BannerCondition#330",0,0,3213,"Diamond Conflict Arms 2"
56,"ui/icon/192000/192420.tex","ui/icon/082000/082093.tex",5,"BannerCondition#331",0,0,3212,"Crystal Conflict Arms 2"
57,"ui/icon/192000/192421.tex","ui/icon/082000/082093.tex",5,"BannerCondition#332",0,0,3218,"Final Conflict Crystal 3"
58,"ui/icon/192000/192422.tex","ui/icon/082000/082093.tex",5,"BannerCondition#333",0,0,3219,"Endless Conflict Blades 3"
59,"ui/icon/192000/192423.tex","ui/icon/082000/082093.tex",5,"BannerCondition#334",0,0,3220,"Rising Conflict Blades 3"
60,"ui/icon/192000/192424.tex","ui/icon/082000/082093.tex",5,"BannerCondition#335",0,0,3226,"Bronze Conflict Arms 3"
61,"ui/icon/192000/192425.tex","ui/icon/082000/082093.tex",5,"BannerCondition#336",0,0,3225,"Silver Conflict Arms 3"
62,"ui/icon/192000/192426.tex","ui/icon/082000/082093.tex",5,"BannerCondition#337",0,0,3224,"Gold Conflict Arms 3"
63,"ui/icon/192000/192427.tex","ui/icon/082000/082093.tex",5,"BannerCondition#338",0,0,3223,"Platinum Conflict Arms 3"
64,"ui/icon/192000/192428.tex","ui/icon/082000/082093.tex",5,"BannerCondition#339",0,0,3222,"Diamond Conflict Arms 3"
65,"ui/icon/192000/192429.tex","ui/icon/082000/082093.tex",5,"BannerCondition#340",0,0,3221,"Crystal Conflict Arms 3"
66,"ui/icon/192000/192430.tex","ui/icon/082000/082093.tex",5,"BannerCondition#341",0,0,3002,"Azure Conflict Emblem"
67,"ui/icon/192000/192431.tex","ui/icon/082000/082093.tex",5,"BannerCondition#342",0,0,3003,"Crimson Conflict Emblem"
68,"ui/icon/192000/192705.tex","ui/icon/082000/082093.tex",4,"BannerCondition#343",0,0,2400,"Sil'dihn Emblem"
69,"ui/icon/192000/192966.tex","ui/icon/082000/082093.tex",3,"BannerCondition#344",0,0,2315,"Omicron Matrices"
70,"ui/icon/192000/192601.tex","ui/icon/082000/082093.tex",9,"BannerCondition#346",0,0,1000,"Lominsan Flag"
71,"ui/icon/192000/192602.tex","ui/icon/082000/082093.tex",9,"BannerCondition#346",0,0,1001,"Gridanian Flag"
72,"ui/icon/192000/192603.tex","ui/icon/082000/082093.tex",9,"BannerCondition#346",0,0,1002,"Ul'dahn Flag"
73,"ui/icon/192000/192015.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,3,"Floral Embellishment"
74,"ui/icon/192000/192016.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,21,"Balloon"
75,"ui/icon/192000/192019.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,30,"Particles"
76,"ui/icon/192000/192018.tex","ui/icon/082000/082093.tex",7,"BannerCondition#347",0,0,31,"Music"
77,"ui/icon/192000/192012.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,20,"Nameday"
78,"ui/icon/192000/192013.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,19,"New Adventurer"
79,"ui/icon/192000/192014.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,33,"Luster"
80,"ui/icon/192000/192017.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,34,"Roses"
81,"ui/icon/192000/192432.tex","ui/icon/082000/082093.tex",5,"BannerCondition#409",0,0,3227,"Final Conflict Crystal 4"
82,"ui/icon/192000/192433.tex","ui/icon/082000/082093.tex",5,"BannerCondition#410",0,0,3228,"Endless Conflict Blades 4"
83,"ui/icon/192000/192434.tex","ui/icon/082000/082093.tex",5,"BannerCondition#411",0,0,3229,"Rising Conflict Blades 4"
84,"ui/icon/192000/192440.tex","ui/icon/082000/082093.tex",5,"BannerCondition#412",0,0,3230,"Crystal Conflict Arms 4"
85,"ui/icon/192000/192439.tex","ui/icon/082000/082093.tex",5,"BannerCondition#413",0,0,3231,"Diamond Conflict Arms 4"
86,"ui/icon/192000/192438.tex","ui/icon/082000/082093.tex",5,"BannerCondition#414",0,0,3232,"Platinum Conflict Arms 4"
87,"ui/icon/192000/192437.tex","ui/icon/082000/082093.tex",5,"BannerCondition#415",0,0,3233,"Gold Conflict Arms 4"
88,"ui/icon/192000/192436.tex","ui/icon/082000/082093.tex",5,"BannerCondition#416",0,0,3234,"Silver Conflict Arms 4"
89,"ui/icon/192000/192435.tex","ui/icon/082000/082093.tex",5,"BannerCondition#417",0,0,3235,"Bronze Conflict Arms 4"
90,"ui/icon/192000/192441.tex","ui/icon/082000/082093.tex",5,"BannerCondition#418",0,0,3236,"Final Conflict Crystal 5"
91,"ui/icon/192000/192442.tex","ui/icon/082000/082093.tex",5,"BannerCondition#419",0,0,3237,"Endless Conflict Blades 5"
92,"ui/icon/192000/192443.tex","ui/icon/082000/082093.tex",5,"BannerCondition#420",0,0,3238,"Rising Conflict Blades 5"
93,"ui/icon/192000/192449.tex","ui/icon/082000/082093.tex",5,"BannerCondition#421",0,0,3239,"Crystal Conflict Arms 5"
94,"ui/icon/192000/192448.tex","ui/icon/082000/082093.tex",5,"BannerCondition#422",0,0,3240,"Diamond Conflict Arms 5"
95,"ui/icon/192000/192447.tex","ui/icon/082000/082093.tex",5,"BannerCondition#423",0,0,3241,"Platinum Conflict Arms 5"
96,"ui/icon/192000/192446.tex","ui/icon/082000/082093.tex",5,"BannerCondition#424",0,0,3242,"Gold Conflict Arms 5"
97,"ui/icon/192000/192445.tex","ui/icon/082000/082093.tex",5,"BannerCondition#425",0,0,3243,"Silver Conflict Arms 5"
98,"ui/icon/192000/192444.tex","ui/icon/082000/082093.tex",5,"BannerCondition#426",0,0,3244,"Bronze Conflict Arms 5"
99,"ui/icon/192000/192450.tex","ui/icon/082000/082093.tex",5,"BannerCondition#427",0,0,3004,"Falcons"
100,"ui/icon/192000/192451.tex","ui/icon/082000/082093.tex",5,"BannerCondition#428",0,0,3005,"Ravens"
101,"ui/icon/192000/192962.tex","ui/icon/082000/082093.tex",3,"BannerCondition#429",0,0,2311,"Pixie Rainbows"
102,"ui/icon/192000/192963.tex","ui/icon/082000/082093.tex",3,"BannerCondition#430",0,0,2312,"Qitari Rope"
103,"ui/icon/192000/192964.tex","ui/icon/082000/082093.tex",3,"BannerCondition#431",0,0,2313,"Dwarven Blocks"
104,"ui/icon/192000/192965.tex","ui/icon/082000/082093.tex",3,"BannerCondition#432",0,0,2314,"Arkasodara Charms"
105,"ui/icon/192000/192967.tex","ui/icon/082000/082093.tex",3,"BannerCondition#433",0,0,2316,"Loporrit Stars"
106,"ui/icon/192000/192706.tex","ui/icon/082000/082093.tex",4,"BannerCondition#434",0,0,2504,"Omega Protocol"
107,"ui/icon/192000/192711.tex","ui/icon/082000/082093.tex",4,"BannerCondition#465",0,0,2354,"Eureka Orthos"
108,"ui/icon/192000/192712.tex","ui/icon/082000/082093.tex",4,"BannerCondition#466",0,0,2355,"Enaretos"
109,"ui/icon/192000/192713.tex","ui/icon/082000/082093.tex",8,"BannerCondition#468",0,0,2340,"Island Vacation"
110,"ui/icon/192000/192714.tex","ui/icon/082000/082093.tex",8,"BannerCondition#469",0,0,2341,"Island Memories"
111,"ui/icon/192000/192452.tex","ui/icon/082000/082093.tex",5,"BannerCondition#502",0,0,3245,"Final Conflict Crystal 6"
112,"ui/icon/192000/192453.tex","ui/icon/082000/082093.tex",5,"BannerCondition#503",0,0,3246,"Endless Conflict Blades 6"
113,"ui/icon/192000/192454.tex","ui/icon/082000/082093.tex",5,"BannerCondition#504",0,0,3247,"Rising Conflict Blades 6"
114,"ui/icon/192000/192460.tex","ui/icon/082000/082093.tex",5,"BannerCondition#505",0,0,3248,"Crystal Conflict Arms 6"
115,"ui/icon/192000/192459.tex","ui/icon/082000/082093.tex",5,"BannerCondition#506",0,0,3249,"Diamond Conflict Arms 6"
116,"ui/icon/192000/192458.tex","ui/icon/082000/082093.tex",5,"BannerCondition#507",0,0,3250,"Platinum Conflict Arms 6"
117,"ui/icon/192000/192457.tex","ui/icon/082000/082093.tex",5,"BannerCondition#508",0,0,3251,"Gold Conflict Arms 6"
118,"ui/icon/192000/192456.tex","ui/icon/082000/082093.tex",5,"BannerCondition#509",0,0,3252,"Silver Conflict Arms 6"
119,"ui/icon/192000/192455.tex","ui/icon/082000/082093.tex",5,"BannerCondition#510",0,0,3253,"Bronze Conflict Arms 6"
120,"ui/icon/192000/192461.tex","ui/icon/082000/082093.tex",5,"BannerCondition#511",0,0,3254,"Final Conflict Crystal 7"
121,"ui/icon/192000/192462.tex","ui/icon/082000/082093.tex",5,"BannerCondition#512",0,0,3255,"Endless Conflict Blades 7"
122,"ui/icon/192000/192463.tex","ui/icon/082000/082093.tex",5,"BannerCondition#513",0,0,3256,"Rising Conflict Blades 7"
123,"ui/icon/192000/192469.tex","ui/icon/082000/082093.tex",5,"BannerCondition#514",0,0,3257,"Crystal Conflict Arms 7"
124,"ui/icon/192000/192468.tex","ui/icon/082000/082093.tex",5,"BannerCondition#515",0,0,3258,"Diamond Conflict Arms 7"
125,"ui/icon/192000/192467.tex","ui/icon/082000/082093.tex",5,"BannerCondition#516",0,0,3259,"Platinum Conflict Arms 7"
126,"ui/icon/192000/192466.tex","ui/icon/082000/082093.tex",5,"BannerCondition#517",0,0,3260,"Gold Conflict Arms 7"
127,"ui/icon/192000/192465.tex","ui/icon/082000/082093.tex",5,"BannerCondition#518",0,0,3261,"Silver Conflict Arms 7"
128,"ui/icon/192000/192464.tex","ui/icon/082000/082093.tex",5,"BannerCondition#519",0,0,3262,"Bronze Conflict Arms 7"
129,"ui/icon/192000/192470.tex","ui/icon/082000/082093.tex",5,"BannerCondition#520",0,0,3006,"Aramitama Kimen"
130,"ui/icon/192000/192471.tex","ui/icon/082000/082093.tex",5,"BannerCondition#521",0,0,3007,"Nigimitama Okinamen"
131,"ui/icon/192000/192960.tex","ui/icon/082000/082093.tex",3,"BannerCondition#524",0,0,2308,"Kojin Buoys"
132,"ui/icon/192000/192959.tex","ui/icon/082000/082093.tex",3,"BannerCondition#525",0,0,2309,"Ananta Hearts"
133,"ui/icon/192000/192961.tex","ui/icon/082000/082093.tex",3,"BannerCondition#526",0,0,2310,"Namazu Lanterns"
134,"ui/icon/192000/192320.tex","ui/icon/082000/082093.tex",2,"BannerCondition#522",0,0,2021,"Blue Mage Emblem"
135,"ui/icon/192000/192715.tex","ui/icon/082000/082093.tex",7,"BannerCondition#523",0,0,3950,"Ten Year Anniversary Logo"
136,"ui/icon/192000/192716.tex","ui/icon/082000/082093.tex",4,"BannerCondition#528",0,0,2401,"Rokkon Emblem"
137,"ui/icon/192000/192717.tex","ui/icon/082000/082093.tex",8,"BannerCondition#529",0,0,2342,"Dolphins"
138,"ui/icon/192000/192718.tex","ui/icon/082000/082093.tex",8,"BannerCondition#530",0,0,2343,"Hooked a Big 'Un!"
139,"ui/icon/192000/192719.tex","ui/icon/082000/082093.tex",8,"BannerCondition#531",0,0,2350,"Mahjong Tiles"
140,"ui/icon/192000/192490.tex","ui/icon/082000/082093.tex",5,"BannerCondition#578",0,0,3008,"Palaistra Ribbons"
141,"ui/icon/192000/192491.tex","ui/icon/082000/082093.tex",5,"BannerCondition#579",0,0,3009,"Cloud Nine Ivy"
142,"ui/icon/192000/192472.tex","ui/icon/082000/082093.tex",5,"BannerCondition#580",0,0,3263,"Final Conflict Crystal 8"
143,"ui/icon/192000/192473.tex","ui/icon/082000/082093.tex",5,"BannerCondition#581",0,0,3264,"Endless Conflict Blades 8"
144,"ui/icon/192000/192474.tex","ui/icon/082000/082093.tex",5,"BannerCondition#582",0,0,3265,"Rising Conflict Blades 8"
145,"ui/icon/192000/192480.tex","ui/icon/082000/082093.tex",5,"BannerCondition#583",0,0,3266,"Crystal Conflict Arms 8"
146,"ui/icon/192000/192479.tex","ui/icon/082000/082093.tex",5,"BannerCondition#584",0,0,3267,"Diamond Conflict Arms 8"
147,"ui/icon/192000/192478.tex","ui/icon/082000/082093.tex",5,"BannerCondition#585",0,0,3268,"Platinum Conflict Arms 8"
148,"ui/icon/192000/192477.tex","ui/icon/082000/082093.tex",5,"BannerCondition#586",0,0,3269,"Gold Conflict Arms 8"
149,"ui/icon/192000/192476.tex","ui/icon/082000/082093.tex",5,"BannerCondition#587",0,0,3270,"Silver Conflict Arms 8"
150,"ui/icon/192000/192475.tex","ui/icon/082000/082093.tex",5,"BannerCondition#588",0,0,3271,"Bronze Conflict Arms 8"
151,"ui/icon/192000/192481.tex","ui/icon/082000/082093.tex",5,"BannerCondition#589",0,0,3272,"Final Conflict Crystal 9"
152,"ui/icon/192000/192482.tex","ui/icon/082000/082093.tex",5,"BannerCondition#590",0,0,3273,"Endless Conflict Blades 9"
153,"ui/icon/192000/192483.tex","ui/icon/082000/082093.tex",5,"BannerCondition#591",0,0,3274,"Rising Conflict Blades 9"
154,"ui/icon/192000/192489.tex","ui/icon/082000/082093.tex",5,"BannerCondition#592",0,0,3275,"Crystal Conflict Arms 9"
155,"ui/icon/192000/192488.tex","ui/icon/082000/082093.tex",5,"BannerCondition#593",0,0,3276,"Diamond Conflict Arms 9"
156,"ui/icon/192000/192487.tex","ui/icon/082000/082093.tex",5,"BannerCondition#594",0,0,3277,"Platinum Conflict Arms 9"
157,"ui/icon/192000/192486.tex","ui/icon/082000/082093.tex",5,"BannerCondition#595",0,0,3278,"Gold Conflict Arms 9"
158,"ui/icon/192000/192485.tex","ui/icon/082000/082093.tex",5,"BannerCondition#596",0,0,3279,"Silver Conflict Arms 9"
159,"ui/icon/192000/192484.tex","ui/icon/082000/082093.tex",5,"BannerCondition#597",0,0,3280,"Bronze Conflict Arms 9"
160,"ui/icon/192000/192492.tex","ui/icon/082000/082093.tex",5,"BannerCondition#598",0,0,3281,"Final Conflict Crystal 10"
161,"ui/icon/192000/192493.tex","ui/icon/082000/082093.tex",5,"BannerCondition#599",0,0,3282,"Endless Conflict Blades 10"
162,"ui/icon/192000/192494.tex","ui/icon/082000/082093.tex",5,"BannerCondition#600",0,0,3283,"Rising Conflict Blades 10"
163,"ui/icon/192000/192500.tex","ui/icon/082000/082093.tex",5,"BannerCondition#601",0,0,3284,"Crystal Conflict Arms 10"
164,"ui/icon/192000/192499.tex","ui/icon/082000/082093.tex",5,"BannerCondition#602",0,0,3285,"Diamond Conflict Arms 10"
165,"ui/icon/192000/192498.tex","ui/icon/082000/082093.tex",5,"BannerCondition#603",0,0,3286,"Platinum Conflict Arms 10"
166,"ui/icon/192000/192497.tex","ui/icon/082000/082093.tex",5,"BannerCondition#604",0,0,3287,"Gold Conflict Arms 10"
167,"ui/icon/192000/192496.tex","ui/icon/082000/082093.tex",5,"BannerCondition#605",0,0,3288,"Silver Conflict Arms 10"
168,"ui/icon/192000/192495.tex","ui/icon/082000/082093.tex",5,"BannerCondition#606",0,0,3289,"Bronze Conflict Arms 10"
169,"ui/icon/192000/192956.tex","ui/icon/082000/082093.tex",3,"BannerCondition#567",0,0,2305,"Vanu Vanu Cords"
170,"ui/icon/192000/192957.tex","ui/icon/082000/082093.tex",3,"BannerCondition#568",0,0,2306,"Vath Vents"
171,"ui/icon/192000/192958.tex","ui/icon/082000/082093.tex",3,"BannerCondition#569",0,0,2307,"Moogle Lamps"
172,"ui/icon/192000/192722.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2252,"Symbol of the Fury"
173,"ui/icon/192000/192723.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2253,"Symbol of the Lover"
174,"ui/icon/192000/192724.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2254,"Symbol of the Scholar"
175,"ui/icon/192000/192725.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2255,"Symbol of the Spinner"
176,"ui/icon/192000/192726.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2256,"Symbol of the Navigator"
177,"ui/icon/192000/192727.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2257,"Symbol of the Wanderer"
178,"ui/icon/192000/192728.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2258,"Symbol of the Builder"
179,"ui/icon/192000/192729.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2259,"Symbol of the Destroyer"
180,"ui/icon/192000/192730.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2260,"Symbol of the Warden"
181,"ui/icon/192000/192731.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2261,"Symbol of the Traders"
182,"ui/icon/192000/192732.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2262,"Symbol of the Matron"
183,"ui/icon/192000/192733.tex","ui/icon/082000/082093.tex",3,"BannerCondition#572",0,0,2263,"Symbol of the Keeper"
184,"ui/icon/192000/192734.tex","ui/icon/082000/082093.tex",4,"BannerCondition#574",0,0,2402,"Aloalo Emblem"
185,"ui/icon/192000/192720.tex","ui/icon/082000/082093.tex",8,"BannerCondition#570",0,0,2351,"Wondrous Seals"
186,"ui/icon/192000/192721.tex","ui/icon/082000/082093.tex",8,"BannerCondition#571",0,0,2352,"Faux Panels"
187,"ui/icon/192000/192735.tex","ui/icon/082000/082093.tex",7,"BannerCondition#575",0,0,3951,"Blunderful Bean"
188,"ui/icon/192000/192736.tex","ui/icon/082000/082093.tex",7,"BannerCondition#576",0,0,3952,"Blunderous Gemstone"
189,"ui/icon/192000/192737.tex","ui/icon/082000/082093.tex",7,"BannerCondition#577",0,0,3953,"Blunder-villed Crown"
190,"ui/icon/192000/192738.tex","ui/icon/082000/082093.tex",7,"BannerCondition#607",0,0,3954,"Yo-kai Stars"
191,"ui/icon/192000/192321.tex","ui/icon/082000/082093.tex",2,"BannerCondition#681",0,0,2013,"Viper Emblem"
192,"ui/icon/192000/192322.tex","ui/icon/082000/082093.tex",2,"BannerCondition#682",0,0,2020,"Pictomancer Emblem"
193,"ui/icon/192000/192501.tex","ui/icon/082000/082093.tex",5,"BannerCondition#683",0,0,3010,"Volcanic Flames"
194,"ui/icon/192000/192502.tex","ui/icon/082000/082093.tex",5,"BannerCondition#684",0,0,3011,"Clockwork Clouds"
195,"ui/icon/192000/192503.tex","ui/icon/082000/082093.tex",5,"BannerCondition#685",0,0,3290,"Final Conflict Crystal 11"
196,"ui/icon/192000/192504.tex","ui/icon/082000/082093.tex",5,"BannerCondition#686",0,0,3291,"Endless Conflict Blades 11"
197,"ui/icon/192000/192505.tex","ui/icon/082000/082093.tex",5,"BannerCondition#687",0,0,3292,"Rising Conflict Blades 11"
198,"ui/icon/192000/192511.tex","ui/icon/082000/082093.tex",5,"BannerCondition#688",0,0,3293,"Crystal Conflict Arms 11"
199,"ui/icon/192000/192510.tex","ui/icon/082000/082093.tex",5,"BannerCondition#689",0,0,3294,"Diamond Conflict Arms 11"
200,"ui/icon/192000/192509.tex","ui/icon/082000/082093.tex",5,"BannerCondition#690",0,0,3295,"Platinum Conflict Arms 11"
201,"ui/icon/192000/192508.tex","ui/icon/082000/082093.tex",5,"BannerCondition#691",0,0,3296,"Gold Conflict Arms 11"
202,"ui/icon/192000/192507.tex","ui/icon/082000/082093.tex",5,"BannerCondition#692",0,0,3297,"Silver Conflict Arms 11"
203,"ui/icon/192000/192506.tex","ui/icon/082000/082093.tex",5,"BannerCondition#693",0,0,3298,"Bronze Conflict Arms 11"
204,"ui/icon/192000/192954.tex","ui/icon/082000/082093.tex",3,"BannerCondition#694",0,0,2302,"Kobold Bricks"
205,"ui/icon/192000/192952.tex","ui/icon/082000/082093.tex",3,"BannerCondition#695",0,0,2301,"Sylph Lanterns"
206,"ui/icon/192000/192951.tex","ui/icon/082000/082093.tex",3,"BannerCondition#696",0,0,2300,"Amalj'aa Lanterns"
207,"ui/icon/192000/192955.tex","ui/icon/082000/082093.tex",3,"BannerCondition#697",0,0,2303,"Sahagin Pods"
208,"ui/icon/192000/192953.tex","ui/icon/082000/082093.tex",3,"BannerCondition#698",0,0,2304,"Ixal Wood"
209,"ui/icon/192000/192662.tex","ui/icon/082000/082093.tex",9,"BannerCondition#701",0,0,1036,"Dawn's Pennant"
210,"ui/icon/192000/192663.tex","ui/icon/082000/082093.tex",9,"BannerCondition#702",0,0,1037,"Dawn's Feathers"
211,"ui/icon/192000/192664.tex","ui/icon/082000/082093.tex",9,"BannerCondition#699",0,0,1038,"Solution Blocks"
212,"ui/icon/192000/192665.tex","ui/icon/082000/082093.tex",9,"BannerCondition#700",0,0,1039,"Solution Distortion"
213,"ui/icon/192000/192512.tex","ui/icon/082000/082093.tex",5,"BannerCondition#756",0,0,3013,"Seal Rock"
