key,0,1,2,3,4
25,"ui/icon/191000/191314.tex","ui/icon/082000/082092.tex","BannerCondition#137",2013,"Barde"
26,"ui/icon/191000/191315.tex","ui/icon/082000/082092.tex","BannerCondition#138",2014,"Machiniste"
27,"ui/icon/191000/191316.tex","ui/icon/082000/082092.tex","BannerCondition#139",2015,"Danseur"
28,"ui/icon/191000/191317.tex","ui/icon/082000/082092.tex","BannerCondition#140",2016,"Mage noir"
29,"ui/icon/191000/191318.tex","ui/icon/082000/082092.tex","BannerCondition#141",2017,"Invocateur"
30,"ui/icon/191000/191319.tex","ui/icon/082000/082092.tex","BannerCondition#142",2018,"Mage rouge"
31,"ui/icon/191000/191401.tex","ui/icon/082000/082092.tex","BannerCondition#143",3000,"Équipe Astra"
32,"ui/icon/191000/191402.tex","ui/icon/082000/082092.tex","BannerCondition#144",3001,"Équipe Umbra"
33,"ui/icon/191000/191403.tex","ui/icon/082000/082092.tex","BannerCondition#145",3200,"Roi du conflit S1"
34,"ui/icon/191000/191404.tex","ui/icon/082000/082092.tex","BannerCondition#146",3201,"Prince du conflit S1"
35,"ui/icon/191000/191405.tex","ui/icon/082000/082092.tex","BannerCondition#147",3202,"As du conflit S1"
36,"ui/icon/191000/191406.tex","ui/icon/082000/082092.tex","BannerCondition#148",3208,"Crystalline Conflict : bronze S1"
37,"ui/icon/191000/191407.tex","ui/icon/082000/082092.tex","BannerCondition#149",3207,"Crystalline Conflict : argent S1"
38,"ui/icon/191000/191408.tex","ui/icon/082000/082092.tex","BannerCondition#150",3206,"Crystalline Conflict : or S1"
39,"ui/icon/191000/191409.tex","ui/icon/082000/082092.tex","BannerCondition#151",3205,"Crystalline Conflict : platine S1"
40,"ui/icon/191000/191410.tex","ui/icon/082000/082092.tex","BannerCondition#152",3204,"Crystalline Conflict : diamant S1"
41,"ui/icon/191000/191411.tex","ui/icon/082000/082092.tex","BannerCondition#153",3203,"Crystalline Conflict : cristal S1"
42,"ui/icon/191000/191901.tex","ui/icon/082000/082092.tex","BannerCondition#154",4000,"Companion 1"
43,"ui/icon/191000/191902.tex","ui/icon/082000/082092.tex","BannerCondition#155",4001,"Companion 2"
44,"ui/icon/191000/191701.tex","ui/icon/082000/082092.tex","BannerCondition#319",2500,"Abîme infini de Bahamut (fatal)"
45,"ui/icon/191000/191702.tex","ui/icon/082000/082092.tex","BannerCondition#320",2501,"Fantasmagorie d'Ultima (fatal)"
46,"ui/icon/191000/191703.tex","ui/icon/082000/082092.tex","BannerCondition#321",2502,"Odyssée d'Alexander (fatal)"
47,"ui/icon/191000/191704.tex","ui/icon/082000/082092.tex","BannerCondition#322",2503,"Guerre du chant des dragons (fatal)"
48,"ui/icon/191000/191412.tex","ui/icon/082000/082092.tex","BannerCondition#323",3210,"Roi du conflit S2"
49,"ui/icon/191000/191413.tex","ui/icon/082000/082092.tex","BannerCondition#324",3211,"Prince du conflit S2"
50,"ui/icon/191000/191414.tex","ui/icon/082000/082092.tex","BannerCondition#325",3212,"As du conflit S2"
51,"ui/icon/191000/191415.tex","ui/icon/082000/082092.tex","BannerCondition#326",3218,"Crystalline Conflict : bronze S2"
52,"ui/icon/191000/191416.tex","ui/icon/082000/082092.tex","BannerCondition#327",3217,"Crystalline Conflict : argent S2"
53,"ui/icon/191000/191417.tex","ui/icon/082000/082092.tex","BannerCondition#328",3216,"Crystalline Conflict : or S2"
54,"ui/icon/191000/191418.tex","ui/icon/082000/082092.tex","BannerCondition#329",3215,"Crystalline Conflict : platine S2"
55,"ui/icon/191000/191419.tex","ui/icon/082000/082092.tex","BannerCondition#330",3214,"Crystalline Conflict : diamant S2"
56,"ui/icon/191000/191420.tex","ui/icon/082000/082092.tex","BannerCondition#331",3213,"Crystalline Conflict : cristal S2"
57,"ui/icon/191000/191421.tex","ui/icon/082000/082092.tex","BannerCondition#332",3220,"Roi du conflit S3"
58,"ui/icon/191000/191422.tex","ui/icon/082000/082092.tex","BannerCondition#333",3221,"Prince du conflit S3"
59,"ui/icon/191000/191423.tex","ui/icon/082000/082092.tex","BannerCondition#334",3222,"As du conflit S3"
60,"ui/icon/191000/191424.tex","ui/icon/082000/082092.tex","BannerCondition#335",3228,"Crystalline Conflict : bronze S3"
61,"ui/icon/191000/191425.tex","ui/icon/082000/082092.tex","BannerCondition#336",3227,"Crystalline Conflict : argent S3"
62,"ui/icon/191000/191426.tex","ui/icon/082000/082092.tex","BannerCondition#337",3226,"Crystalline Conflict : or S3"
63,"ui/icon/191000/191427.tex","ui/icon/082000/082092.tex","BannerCondition#338",3225,"Crystalline Conflict : platine S3"
64,"ui/icon/191000/191428.tex","ui/icon/082000/082092.tex","BannerCondition#339",3224,"Crystalline Conflict : diamant S3"
65,"ui/icon/191000/191429.tex","ui/icon/082000/082092.tex","BannerCondition#340",3223,"Crystalline Conflict : cristal S3"
66,"ui/icon/191000/191430.tex","ui/icon/082000/082092.tex","BannerCondition#341",3002,"Crystalline Conflict : bleu"
67,"ui/icon/191000/191431.tex","ui/icon/082000/082092.tex","BannerCondition#342",3003,"Crystalline Conflict : rouge"
68,"ui/icon/191000/191705.tex","ui/icon/082000/082092.tex","BannerCondition#343",2400,"Donjon à embranchements : Les canalisations sildiennes"
69,"ui/icon/191000/191016.tex","ui/icon/082000/082092.tex","BannerCondition#1",32,"Bande dessinée"
70,"ui/icon/191000/191019.tex","ui/icon/082000/082092.tex","BannerCondition#1",6,"Arche de métal"
71,"ui/icon/191000/191020.tex","ui/icon/082000/082092.tex","BannerCondition#1",33,"Pellicule"
72,"ui/icon/191000/191012.tex","ui/icon/082000/082092.tex","BannerCondition#1",31,"Lignes d'accentuation"
73,"ui/icon/191000/191013.tex","ui/icon/082000/082092.tex","BannerCondition#1",30,"Brume noire"
74,"ui/icon/191000/191017.tex","ui/icon/082000/082092.tex","BannerCondition#1",22,"Dentelle noire"
75,"ui/icon/191000/191018.tex","ui/icon/082000/082092.tex","BannerCondition#1",23,"Dentelle blanche"
76,"ui/icon/191000/191014.tex","ui/icon/082000/082092.tex","BannerCondition#1",11,"Objet QN"
77,"ui/icon/191000/191015.tex","ui/icon/082000/082092.tex","BannerCondition#1",12,"Objet HQ"
78,"ui/icon/191000/191432.tex","ui/icon/082000/082092.tex","BannerCondition#409",3230,"Roi du conflit S4"
79,"ui/icon/191000/191433.tex","ui/icon/082000/082092.tex","BannerCondition#410",3231,"Prince du conflit S4"
80,"ui/icon/191000/191434.tex","ui/icon/082000/082092.tex","BannerCondition#411",3232,"As du conflit S4"
81,"ui/icon/191000/191440.tex","ui/icon/082000/082092.tex","BannerCondition#412",3233,"Crystalline Conflict : cristal S4"
82,"ui/icon/191000/191439.tex","ui/icon/082000/082092.tex","BannerCondition#413",3234,"Crystalline Conflict : diamant S4"
83,"ui/icon/191000/191438.tex","ui/icon/082000/082092.tex","BannerCondition#414",3235,"Crystalline Conflict : platine S4"
84,"ui/icon/191000/191437.tex","ui/icon/082000/082092.tex","BannerCondition#415",3236,"Crystalline Conflict : or S4"
85,"ui/icon/191000/191436.tex","ui/icon/082000/082092.tex","BannerCondition#416",3237,"Crystalline Conflict : argent S4"
86,"ui/icon/191000/191435.tex","ui/icon/082000/082092.tex","BannerCondition#417",3238,"Crystalline Conflict : bronze S4"
87,"ui/icon/191000/191441.tex","ui/icon/082000/082092.tex","BannerCondition#418",3240,"Roi du conflit S5"
88,"ui/icon/191000/191442.tex","ui/icon/082000/082092.tex","BannerCondition#419",3241,"Prince du conflit S5"
89,"ui/icon/191000/191443.tex","ui/icon/082000/082092.tex","BannerCondition#420",3242,"As du conflit S5"
90,"ui/icon/191000/191449.tex","ui/icon/082000/082092.tex","BannerCondition#421",3243,"Crystalline Conflict : cristal S5"
91,"ui/icon/191000/191448.tex","ui/icon/082000/082092.tex","BannerCondition#422",3244,"Crystalline Conflict : diamant S5"
92,"ui/icon/191000/191447.tex","ui/icon/082000/082092.tex","BannerCondition#423",3245,"Crystalline Conflict : platine S5"
93,"ui/icon/191000/191446.tex","ui/icon/082000/082092.tex","BannerCondition#424",3246,"Crystalline Conflict : or S5"
94,"ui/icon/191000/191445.tex","ui/icon/082000/082092.tex","BannerCondition#425",3247,"Crystalline Conflict : argent S5"
95,"ui/icon/191000/191444.tex","ui/icon/082000/082092.tex","BannerCondition#426",3248,"Crystalline Conflict : bronze S5"
96,"ui/icon/191000/191450.tex","ui/icon/082000/082092.tex","BannerCondition#427",3004,"Faucons"
97,"ui/icon/191000/191451.tex","ui/icon/082000/082092.tex","BannerCondition#428",3005,"Corbeaux"
98,"ui/icon/191000/191706.tex","ui/icon/082000/082092.tex","BannerCondition#434",2504,"Protocole Oméga (fatal)"
99,"ui/icon/191000/191707.tex","ui/icon/082000/082092.tex","BannerCondition#467",2250,"Conte des quatre animaux sacrés"
100,"ui/icon/191000/191708.tex","ui/icon/082000/082092.tex","BannerCondition#468",2340,"Félicité insulaire 1"
101,"ui/icon/191000/191709.tex","ui/icon/082000/082092.tex","BannerCondition#469",2341,"Félicité insulaire 2"
102,"ui/icon/191000/191452.tex","ui/icon/082000/082092.tex","BannerCondition#502",3249,"Roi du conflit S6"
103,"ui/icon/191000/191453.tex","ui/icon/082000/082092.tex","BannerCondition#503",3250,"Prince du conflit S6"
104,"ui/icon/191000/191454.tex","ui/icon/082000/082092.tex","BannerCondition#504",3251,"As du conflit S6"
105,"ui/icon/191000/191460.tex","ui/icon/082000/082092.tex","BannerCondition#505",3252,"Crystalline Conflict : cristal S6"
106,"ui/icon/191000/191459.tex","ui/icon/082000/082092.tex","BannerCondition#506",3253,"Crystalline Conflict : diamant S6"
107,"ui/icon/191000/191458.tex","ui/icon/082000/082092.tex","BannerCondition#507",3254,"Crystalline Conflict : platine S6"
108,"ui/icon/191000/191457.tex","ui/icon/082000/082092.tex","BannerCondition#508",3255,"Crystalline Conflict : or S6"
109,"ui/icon/191000/191456.tex","ui/icon/082000/082092.tex","BannerCondition#509",3256,"Crystalline Conflict : argent S6"
110,"ui/icon/191000/191455.tex","ui/icon/082000/082092.tex","BannerCondition#510",3257,"Crystalline Conflict : bronze S6"
111,"ui/icon/191000/191461.tex","ui/icon/082000/082092.tex","BannerCondition#511",3258,"Roi du conflit S7"
112,"ui/icon/191000/191462.tex","ui/icon/082000/082092.tex","BannerCondition#512",3259,"Prince du conflit S7"
113,"ui/icon/191000/191463.tex","ui/icon/082000/082092.tex","BannerCondition#513",3260,"As du conflit S7"
114,"ui/icon/191000/191469.tex","ui/icon/082000/082092.tex","BannerCondition#514",3261,"Crystalline Conflict : cristal S7"
115,"ui/icon/191000/191468.tex","ui/icon/082000/082092.tex","BannerCondition#515",3262,"Crystalline Conflict : diamant S7"
116,"ui/icon/191000/191467.tex","ui/icon/082000/082092.tex","BannerCondition#516",3263,"Crystalline Conflict : platine S7"
117,"ui/icon/191000/191466.tex","ui/icon/082000/082092.tex","BannerCondition#517",3264,"Crystalline Conflict : or S7"
118,"ui/icon/191000/191465.tex","ui/icon/082000/082092.tex","BannerCondition#518",3265,"Crystalline Conflict : argent S7"
119,"ui/icon/191000/191464.tex","ui/icon/082000/082092.tex","BannerCondition#519",3266,"Crystalline Conflict : bronze S7"
120,"ui/icon/191000/191470.tex","ui/icon/082000/082092.tex","BannerCondition#520",3006,"Cadre oriental 1"
121,"ui/icon/191000/191471.tex","ui/icon/082000/082092.tex","BannerCondition#521",3007,"Cadre oriental 2"
122,"ui/icon/191000/191320.tex","ui/icon/082000/082092.tex","BannerCondition#522",2019,"Mage bleu"
123,,,"BannerCondition#0",0,""
124,,,"BannerCondition#0",0,""
125,"ui/icon/191000/191712.tex","ui/icon/082000/082092.tex","BannerCondition#529",2342,"Grand pêcheur"
126,"ui/icon/191000/191713.tex","ui/icon/082000/082092.tex","BannerCondition#530",2343,"Pêcheur de légendes"
127,"ui/icon/191000/191714.tex","ui/icon/082000/082092.tex","BannerCondition#531",2360,"Tuiles essentielles"
128,,,"BannerCondition#0",0,""
129,,,"BannerCondition#0",0,""
130,,,"BannerCondition#0",0,""
131,,,"BannerCondition#0",0,""
132,,,"BannerCondition#0",0,""
133,,,"BannerCondition#0",0,""
134,,,"BannerCondition#0",0,""
135,,,"BannerCondition#0",0,""
136,,,"BannerCondition#0",0,""
137,,,"BannerCondition#0",0,""
138,,,"BannerCondition#0",0,""
139,,,"BannerCondition#0",0,""
140,,,"BannerCondition#0",0,""
