key,0,1,2,3,4,5,6,7,8,9,10,11
20,1,0,0,0,0,"/cwlinkshell8","/cwl8","/weltenkontaktkreis8, /wkk8, /cwlinkshell8, /cwl8
VERWENDUNG:
/wkk8 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 8 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 8“.

Beispiel:
/wkk8 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 8.
/wkk8
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 8“.","/weltenkontaktkreis8","/wkk8","<reply>",0
21,2,0,0,0,0,"/graphicpresets","/gpresets","/grafikeinstellungen (/grafikein), /graphicpresets(/gpresets)
VERWENDUNG:
/grafikein [Nummer]
Wechselt die Grafikeinstellungen zu der entsprechenden Voreinstellung.

Nummern der Voreinstellungen (1-5)
<If(Equal(PlayerParameter(78),3))>1: Standard (Mac)
2: Mittel (Mac)
3: Hoch (Mac)
4: Sehr hoch (Mac): Nur bei 64bit
5: Maximum (Mac): Nur bei 64bit<Else/>1: Standard =Laptop
2: Standard =Desktop
3: Hoch =Laptop
4: Hoch =Desktop
5: Maximum</If>","/grafikeinstellungen","/grafikein",,0
22,1,0,0,0,0,"/fellowship","/fs","/zirkel, /fellowship
→ Öffnet die Liste der Zirkel.","/zirkel","","pack",0
23,1,0,0,0,0,"/fellowshipfinder","/fsfinder","/zirkelsuche, /zs, /fellowshipfinder
→ Öffnet die Zirkelsuche.","/zirkelsuche","/zs","pack",0
24,1,0,0,0,0,"/collection","/coll","/kuriositäten (/kuri), /collection (/coll)
→ Öffnet das Fenster „Kuriositäten“.","/kuriositäten","/kuri","pack",0
25,1,0,0,0,0,"/newgame+","/ng+","/neuesspiel+, /ns+, /newgame+
→ Öffnet das Menü zum Starten von Neues Spiel+.","/neuesspiel+","/ns+","pack",0
26,2,1,2,0,0,"/dice","","/zufall, /dice
VERWENDUNG:
/zufall [Chat]
→ Wählt zufällig eine Zahl zwischen 0 und 999 aus und sendet sie im aktuellen bzw. ausgewählten Chatmodus. 
Auswählbare Chatmodi
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Gruppe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>gruppe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>party<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Allianz<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>allianz<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>alliance<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>fg<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>PvP-Team<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>pvpteam<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Kontaktkreis 1-8<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>kk1-8<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Weltenkontaktkreis 1-8<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>wkk1-8<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
Wird der Chatmodus als Abkürzung eingegeben, wird die Zahl im eingegebenen Chatmodus gesendet.
* Beim Erstellen von Makros kann der Chatmodus nicht abgekürzt werden.
Beispiel:
/zufall
Sendet eine zufällig ausgewählte Zahl an alle Spieler in deiner näheren Umgebung.
/zufall 16
Sendet eine zufällige Zahl zwischen 1 und 16 an alle Spieler in deiner näheren Umgebung.
/zufall wkk1
Sendet eine zufällig ausgewählte Zahl an alle Mitglieder des Welten-Kontaktkreises 1.
/zufall wkk1 16
Sendet eine zufällige Zahl zwischen 1 und 16 an alle Mitglieder des Welten-Kontaktkreises 1.
","/zufall","/zuf","head",1000
27,3,1,2,0,0,"/nameplatetype","","/namensanzeigeart, /nameplatetype
VERWENDUNG:
/namensanzeigeart [Ziel] [Typ]
→ Legt die Anzeigeart des Charakternamens fest.
>>Ziele:
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>alle<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für alle Charaktere.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>selbst<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für den eigenen Charakter.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>gruppe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für die Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieder.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>allianz<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für die Allianzmitglieder.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>andere<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für andere Charaktere.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>freund<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für Freunde.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>feast<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für PvP-Gegner in „The Feast“.

>>Typen (1-4)
1: Voller Name
2: Nachname abgekürzt
3: Vorname abgekürzt
4: Initialen

Beispiel:
/namensanzeigeart alle 4
Die Namen aller Charaktere werden als Initialen angezeigt. ","/namensanzeigeart","/nanzeigeart","head",0
28,3,1,2,0,0,"/nameplatedisp","","/namensanzeige, /nameplatedisp
VERWENDUNG:
/namensanzeige [Ziel] [Typ]
→ Legt die Anzeige des Charakternamens fest.
>>Ziele:
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>alle<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für alle Charaktere.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>selbst<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für den eigenen Charakter.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>gruppe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für die Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieder.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>allianz<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für die Allianzmitglieder.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>andere<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für andere Charaktere.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>freund<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für Freunde.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>feast<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Einstellungen für PvP-Gegner in „The Feast“.

>>Typen (1-4)
1: Immer anzeigen
2: Im Kampf
3: Wenn anvisiert
4: Nie

Beispiel:
/namensanzeige alle 4
Es werden keine Namen von Charakteren angezeigt.","/namensanzeige","/nanzeige","head",0
29,2,1,20,0,0,"/fashion","","/mode, /fashion
VERWENDUNG:
/mode [Modeaccessoire-Name]
→ Stellt das ausgewählte Modeaccessoire zur Schau.

Beispiel:
/mode Sonnenschirm
Stellt das Modeaccessoire „Sonnenschirm“ zur Schau.
","/mode","","head",0
30,1,0,0,0,0,"/fashionguide","","/modeguide, /fashionlist
→ Öffnet das Menü „Modeaccessoires“.
","/modeguide","","pack",0
31,1,0,0,0,0,"/officialsite","/site","/offiziellewebseiten, /webseite, /site
→ Öffnet das Menü „Offizielle Webseiten“.
","/offiziellewebseiten","/webseite","pack",0
32,1,0,0,0,0,"//setGearset","","//setGearset
リアルイベント用コマンド。
アーマリーチェスト内のアイテムをもとに、自動的にバトルジョブのギアセットを生成する。","","","pack",0
33,3,2,7,15,0,"/petmirage","","/familiarprojektion, /fampro, /petmirage, /egimirage
VERWENDUNG: /fampro [Familiarname] [Aussehen]→ Ändert deine Anzeigeeinstellung für das nächste gerufene Familiar. Keine Auswirkungen auf die Anzeige für andere Spieler. Bei PvP unwirksam.
>>Familiarname:
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Karfunkel<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Garuda-Egi<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Titan-Egi<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Ifrit-Egi<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
>>Aussehen:
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Karfunkel<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Emerald-Karfunkel<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Topas-Karfunkel<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rubin-Karfunkel<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Ifrit-Egi<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Titan-Egi<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Garuda-Egi<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bei fehlendem Aussehen erhält das Familiar sein ursprüngliches Aussehen zurück.

>>Beispiel:
/fampro Garuda-Egi Topas-Karfunkel
Gibt dem Garuda-Egi das Aussehen eines Topas-Karfunkels.","/familiarprojektion","/fampro","head",0
34,3,2,7,2,0,"/petsize","","/familiargröße, /petsize
VERWENDUNG: /familiargröße [Familiarname] [Größe]
→ Ändert deine Anzeigeeinstellung für das nächste gerufene Familiar. Keine Auswirkungen auf die Anzeige für andere Spieler. Bei PvP unwirksam.
>>Familiarname:
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Demi-Bahamut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Demi-Phönix<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rubin-Ifrit<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Topas-Titan<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Emerald-Garuda<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>alle<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>all<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)

>>Größe:
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>groß<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>large<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>mittel<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>medium<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>klein<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>small<UIGlow>01</UIGlow><UIForeground>01</UIForeground>)
Bei fehlender Größe wird in der Reihenfolge „klein, mittel, groß“ durchgeschaltet. Bei Familiarname „alle“ wird ein Fehler ausgegeben.

>>Beispiel:
/familiargröße Demi-Bahamut mittel
Zeigt das Familiar Demi-Bahamut in mittlerer Größe an.
/familiargröße alle klein
Zeigt alle Familiare in kleiner Größe an.","/familiargröße","","head",0
35,3,0,0,0,0,"/ridepillion","","/mitfahren, /ridepillion
VERWENDUNG: /mitfahren <Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glied #> [Platznummer]→ Lässt dich auf dem Reittier eines Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieds aufsitzen.

>>Platznummer (1-7)
Wenn der gewünschte Platz belegt ist, wird automatisch ein freier Platz gewählt. Bei fehlender Platznummer wird der erste Platz versucht.

>>Beispiel:
/aufsitzen <2> 1
Lässt dich auf dem Reittier von Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glied 2 aufsitzen, und zwar an Platznummer 1.","/mitfahren","","head",0
36,1,0,0,0,0,"/patchnote","","/patchdetails, /patchnote
→ Öffnet die offizielle Lodestone-Seite mit den Patchdetails in deinem Browser.","/patchdetails","","pack",1000
91,1,0,0,0,0,"/pvpteam","/pt","/pvpteam, /pt
VERWENDUNG:
pvpteam [Nachr.]
→ Sendet eine Chat-Nachricht an die Mitglieder des PvP-Teams, unabhängig von dem Areal, in dem sie sich befinden.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „PvP-Team“.

Beispiel:
/pvpteam Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des PvP-Teams.
/pvpteam
Wechselt den aktiven Reiter des Chatlogs zu „PvP-Team“.","","","<reply>",0
92,1,0,0,0,0,"/cwlinkshell","/cwl","/wkk, /cwlinkshell, /cwl
VERWENDUNG:
/wkk [Nachr.]

→ Sendet eine Nachricht an alle Mitglieder deines aktiven Welten-Kontaktkreises. Die Entfernung spielt keine Rolle. Wenn keine Nachricht eingegeben wird, ändert dies den Chatmodus zu deinem aktiven „Welten-Kontaktkreis“-Chat","/wkk","","<reply>",0
101,1,0,0,0,0,"/beginner","/b","/neuling, /neu, /beginner, /b
VERWENDUNG:
/neuling [Nachr.]
→ Sendet allen am Neulings-Chat teilnehmenden PCs eine Nachricht. Wenn keine Nachricht eingegeben wird, ändert dies den Chatmodus zu „Neulinge“.","/neuling","/neu","<reply>",0
102,1,0,0,0,0,"/say","/s","/sagen, /say, /s
VERWENDUNG:
/sagen [Nachr.]
→ Sendet allen in der Nähe befindlichen PCs eine Nachricht. Die Nachricht wird nicht angezeigt, wenn ein PC den „Sagen“-Chatfilter aktiviert hat. Wenn keine Nachricht eingegeben wird, ändert dies den Chatmodus zu „Sagen“.","/sagen","","<lst>",0
103,1,0,0,0,0,"/shout","/sh","/schreien, /schr, /shout, /sh
VERWENDUNG:
/schreien [Nachr.]
→ Sendet allen PCs des gesamten Areals eine Nachricht.","/schreien","/schr","<reply>",0
104,3,0,0,0,0,"/tell","/t","/flüstern, /fl, /tell, /t
VERWENDUNG:
/flüstern [Name]@[Welt] [Nachr.]
→ Sendet eine Nachricht an den genannten PC auf der genannten Welt. Nachrichten können nur an einen PC auf einer anderen Welt geschickt werden, wenn der Empfänger ein Freund ist oder ein Gruppenanführer, der gerade Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieder sucht. Wenn keine Nachricht eingegeben wird, ändert dies den Chatmodus zu „Flüstern“.
>>Beispiel:
/flüstern Wander Mille@Goldsaucer Hallo!
Sendet die Nachricht „Hallo!“ an den Charakter „Wander Mille“ auf der Welt Goldsaucer.","/flüstern","/fl","<reply>",0
