key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,3,"ui/icon/072000/072208.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Wasser
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Zum Standardrepertoire gehörender Wasserzauber.
Umfasst Gegner mit einer gewaltigen Wasserfontäne, die zu allem Übel auch noch mit Giftstoffen versetzt ist. Wohl bekomms.",4,"the Dragon's Neck",,,True,False,False,False,False,False,False,False,False,False,False,False
9,11,"ui/icon/072000/072209.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Erde
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Gabe erdbasierter Magiewesen.
Lässt durch Manipulation des Umgebungsäthers örtliche Erdbeben entstehen, die teils gewaltige Ausmaße annehmen können.",4,"Copperbell Mines (Hard)",,,True,False,False,False,False,False,False,False,False,False,False,False
10,18,"ui/icon/072000/072210.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Abwehrmechanismus von Baumschraten und anderen Waldwesen.
Streut magische Eicheln, die in einer Kettenexplosion detonieren und dabei einen schläfrig machenden Wirkstoff freisetzen. Eigentlich zur Abwehr von Fressfeinden und Parasiten entwickelt.",1,"the Navel",,,True,False,False,False,False,False,False,False,True,False,False,False
11,12,"ui/icon/072000/072211.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Kampfinstinkt wilder Kreaturen.
Entfesselt den angeborenen Tötungsinstinkt von jagdtreibenden Bestien und steigert, wenn von Magiern gewirkt, die Angriffskraft von anderen Blauzaubern.",1,"Solemn Trinity",,,False,True,False,False,False,False,False,False,False,False,False,False
12,41,"ui/icon/072000/072212.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Mentale Attacke der Seelenschinder.
Lähmt Geist wie Körper<Indent/>- eine Angewohnheit, die sich auch ein gewisses brutales Konstrukt der Indigohand zu Nutze gemacht hat.",4,"the Tam–Tara Deepcroft","Why They Call It the Blues","Blue Collar Work",True,False,False,False,True,False,False,False,False,False,False,False
13,17,"ui/icon/072000/072213.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Fressmethode von Fledermäusen und Stechmücken.
Durch die Entziehung von Blut wird dem Opfer Körperäther entnommen und das eigene magische Potenzial aufgebaut. Wilde Tiere haben diese Fähigkeit aus ihrer täglichen Nah<SoftHyphen/>rungs<SoftHyphen/>auf<SoftHyphen/>nahme entwickelt.",1,"the Great Gubal Library","Blue Collar Work","Blue Leading the Blue",True,True,False,False,False,False,False,False,False,False,False,False
14,19,"ui/icon/072000/072214.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Feuer
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Imitation goblinscher Bombenattacken.
Ein Blauzauber, der die mit magischen Elementen verstärkten Bombenwürfe der Goblins imitiert.",1,"the Wanderer's Palace (Hard)",,,True,False,False,False,False,False,False,True,False,False,False,False
15,36,"ui/icon/072000/072215.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Physisch/Stich
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Natürlicher Abwehrmechanismus der Sabotender.
Die winzigen Nadeln sind magische Imitate, aber die von ihnen verursachten Schmerzen und Wunden sind sehr real.",1,"Hero on the Half Shell","Blue Gold","Scream Blue Murder",True,False,False,False,False,False,False,False,False,False,False,False
16,5,"ui/icon/072000/072216.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Physisch/Stich
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Magitek-basierte Werktechnik.
Die hochdrehzahlige Rotation erzeugt eine erschreckende Durchschlagskraft, die besonders bei versteinerten Gegnern fürchterliche Schäden anrichtet.",1,"Pulling Poison Posies",,,True,False,False,False,False,False,False,False,False,False,False,False
17,27,"ui/icon/072000/072217.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Kampftechnik der Dahak und anderer Nichts<SoftHyphen/>gesand<SoftHyphen/>ter.
Magische Konzentration böser Absichten, die über dem Schlachtfeld ausgestrahlt wird und die Feindseligkeit gegnerischer Truppen auf den Wirkenden zieht.",4,"Amdapor Keep",,,True,False,False,False,False,False,False,False,False,False,False,False
18,15,"ui/icon/072000/072218.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Physisch/Hieb
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Lieblingswaffe der Tomberrys.
Ein gefürchteter Angriff. Die mit einem hasserfüllten Grinsen geführte Waffe vermag das Opfer zu verkrüppeln und zu lähmen.",4,"the Wanderer's Palace",,,True,False,False,False,False,False,False,False,False,False,False,False
19,7,"ui/icon/072000/072219.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Niederer Transportzauber.
Löst den Körper in seine ätherischen Bestandteile auf, wodurch er über eine kurze Distanz durch den Ätherstrom gleiten und an anderer Stelle materialisiert werden kann. Gut geeignet für Fluchtmanöver.",1,"Pulling Poison Posies",,,False,False,False,False,False,False,False,False,False,False,False,False
20,2,"ui/icon/072000/072220.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Feuer
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Strahlförmige Feuerattacke.
Die nach vorne gerichtete Konzentration von Feueräther verhält sich wie eine hochentzündliche Flüssigkeit, die sich an das be<SoftHyphen/>mit<SoftHyphen/>leidens<SoftHyphen/>werte Opfer heftet.",4,"Brayflox's Longstop (Hard)",,,True,False,False,False,False,False,False,False,False,False,False,False
21,23,"ui/icon/072000/072221.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","List der Qiqirn.
Die fleischfressenden Qiqirn verängstigen ihre Opfer mit einer magischen Schockwelle aus der hohlen Hand, bevor sie sich geifernd daran machen, sie zu verzehren.",1,"the Keeper of the Lake","Scream Blue Murder","Why They Call It the Blues",True,False,False,False,False,False,False,True,False,False,False,False
22,10,"ui/icon/072000/072222.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Blitz
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Kraft des Zyklopen.
Entfesselt einen stark gebündelten Lichtstrahl, der wie ein Blitz niedergeht und den Gegner betäubt.",4,"the Aurum Vale","The Real Folk Blues","Blue Gold",True,False,False,False,True,False,False,False,False,False,False,False
23,35,"ui/icon/072000/072223.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Blaumagische Technologienachbildung.
Eine ätherisch gelenkte Waffe, deren Detonation beim Aufschlag auch gut gepanzerten Gegnern großen Schaden zufügt.",4,"Battle in the Big Keep",,,True,False,False,False,False,False,False,False,False,False,False,True
24,13,"ui/icon/072000/072224.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","Archaischer Heilzauber.
Warme Winde tragen heilende Ätherkraft über einen begrenzten Bereich. Die große Heilwirkung verlangt dem Wirkenden einiges an Kräften ab.",2,"",,,False,True,False,False,False,False,False,False,False,False,False,False
25,8,"ui/icon/072000/072225.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Physisch/Stich
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Attacke der Vespula.
Die tödlich verletzte Vespula verwandelt den letzten Rest ihrer Lebenskraft in einen hochgiftigen Stachelstich, mit dem sie ihren Bezwinger mit in den Tod reißt.",1,"the Wanderer's Palace (Hard)",,,True,False,False,False,False,False,False,False,False,False,False,False
26,21,"ui/icon/072000/072226.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Feuer
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Typische Attacke der Bomber.
Verwandelt den gesamten Äther urplötzlich in feuerbasierten und löst so eine Explosion aus. Besonders gefährlich in ölverschmierten Umgebungen.",1,"Basic Training: Enemy Parties",,,True,False,False,False,False,False,False,False,False,False,False,False
27,22,"ui/icon/072000/072227.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Blaumagie aus der Geisterwelt der Neuen Welt.
Opfert die eigene Lebensenergie, um das Leiden eines anderen zu lindern und ihn vollständig zu heilen.",2,"",,,False,True,False,False,False,False,False,False,False,False,False,False
28,32,"ui/icon/072000/072228.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","Von der Karpfenkröte erworbener Blauzauber.
Dieser Ausweichzauber ist der eigentliche Grund für die sagenhafte Schlüpfrigkeit der Karpfenkröte und streicht den Blaumagier mit glitschigem Öl ein. Manche stehen drauf, andere finden's widerlich.",1,"Basic Training: Enemy Parties",,,False,True,False,False,False,False,False,False,False,False,False,False
29,20,"ui/icon/072000/072229.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Blauzauber des Stammes der Riesen.
Ein uralter Fluch aus der Neuen Welt, der den Geist des Gegners zerfrisst und schwächt. Folgeangriffe können das wehrlos gewordene Opfer empfindlich treffen.",2,"",,,True,False,False,False,False,False,False,False,False,False,False,False
30,31,"ui/icon/072000/072230.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Physisch/Schlag
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Von der Karpfenkröte erworbener Blauzauber.
Die Klebrigkeit der Zunge der Karpfenkröte ist legendär und ermöglicht ihr, Fressbeute von weit her heranzuziehen. Der Zauber imitiert diese Fähigkeit.",1,"Basic Training: Enemy Parties",,,True,False,False,False,False,False,False,True,False,False,False,False
31,40,"ui/icon/072000/072231.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Attacke des Karlabos.
Wirbelt den in der Schwanzspitze konzentrierten Äther auf den Feind, um ihm Lebensenergie zu entziehen. Erfordert eine hohe Kontrolle über den Äther und ist nicht leicht zu erlernen.",4,"Sastasha (Hard)",,,True,False,False,False,False,False,False,False,False,False,False,True
32,14,"ui/icon/072000/072232.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Fluch der Ahriman und anderer Nichts<SoftHyphen/>gesand<SoftHyphen/>ten.
Setzt sich in den kleinen Rissen der Seele fest, die im Laufe des Lebens entstehen. Die Verderbnis, die sich ausbreitet, verhärtet nicht nur Herz und Gewissen.",4,"Haukke Manor",,,True,False,False,True,False,False,False,False,False,False,False,False
33,39,"ui/icon/072000/072233.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Zauber der Nichts<SoftHyphen/>gesand<SoftHyphen/>ten.
Nichts<SoftHyphen/>gesand<SoftHyphen/>te der Neuen Welt versetzen mit diesem Zauber die Angehörigen eines Stammes Mondanbeter in Ekstase, um sich von ihnen verehren zu lassen.",2,"",,,False,True,False,False,False,False,False,False,False,False,False,False
34,42,"ui/icon/072000/072234.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Zauber der Nichts<SoftHyphen/>gesand<SoftHyphen/>ten.
Ein enorm starker Fluch aus der Neuen Welt, der dem Opfer jeglichen Lebenswillen entzieht. Wirkt allerdings nicht zuverlässig.",2,"",,,True,False,False,False,False,False,False,False,False,False,False,True
35,30,"ui/icon/072000/072235.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>---
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Blauzauber aus den Meeren der Neuen Welt.
Schutzzauber eines dünnhäutigen Meeresbewohners, mit dem er eine magische Mauer um sich errichtet und Fressfeinde abhält.",2,"",,,False,True,False,False,False,False,False,False,False,False,False,False
36,16,"ui/icon/072000/072236.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Eis
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Zauber der Nichts<SoftHyphen/>gesand<SoftHyphen/>ten.
Bündelt die Feindseligkeit eines Angreifers in eine eisbasierte Ätherspitze, die auf den Aggressor zurückgeschleudert werden kann.",1,"Ward Up",,,False,True,True,False,False,False,False,False,False,False,False,False
