#,Name,UnlockLink,TextCommand,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],Order,Icon,LogMessageTargeted,LogMessageUntargeted,Patch,EmoteCategory,EmoteMode,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,HasCancelEmote,DrawsWeapon,Unknown6
65,Anfeuern (blau),381,466,6244,6243,0,0,0,0,0,10022,64355,8084,8085,1,2,34,False,False,False,False,True,False,False,False
66,Anfeuern (gelb),382,467,6246,6245,0,0,0,0,0,10023,64356,8086,8087,1,2,35,False,False,False,False,True,False,False,False
67,Anfeuern (rot),383,468,6248,6247,0,0,0,0,0,10024,64357,8088,8089,1,2,36,False,False,False,False,True,False,False,False
68,Neutrale Miene,0,469,604,0,604,604,604,604,0,20001,64101,161,261,1,3,0,True,True,True,False,False,False,False,False
69,Lächelnd,0,470,605,0,605,605,605,605,0,20002,64102,162,262,1,3,0,True,True,True,False,False,False,False,False
70,Grinsend,0,471,606,0,606,606,606,606,0,20003,64103,163,263,1,3,0,True,True,True,False,False,False,False,False
71,Zuversichtlich,0,472,607,0,607,607,607,607,0,20007,64104,164,264,1,3,0,True,True,True,False,False,False,False,False
72,Siegessicher,0,473,608,0,608,608,608,608,0,20008,64105,165,265,1,3,0,True,True,True,False,False,False,False,False
73,Augen zu,0,474,611,0,611,611,611,611,0,20009,64106,166,266,1,3,0,True,True,True,False,False,False,False,False
74,Traurig,0,475,612,0,612,612,612,612,0,20010,64107,167,267,1,3,0,True,True,True,False,False,False,False,False
75,Ängstlich,0,476,614,0,614,614,614,614,0,20011,64108,168,268,1,3,0,True,True,True,False,False,False,False,False
76,Sprachlos,0,477,615,0,615,615,615,615,0,20012,64109,169,269,1,3,0,True,True,True,False,False,False,False,False
77,Schmerzerfüllt,0,478,616,0,616,616,616,616,0,20013,64110,170,270,1,3,0,True,True,True,False,False,False,False,False
78,Genervt,0,479,617,0,617,617,617,617,0,20014,64111,171,271,1,3,0,True,True,True,False,False,False,False,False
79,Alarmiert,0,480,619,0,619,619,619,619,0,20015,64112,172,272,1,3,0,True,True,True,False,False,False,False,False
80,Besorgt,0,481,620,0,620,620,620,620,0,20016,64113,173,273,1,3,0,True,True,True,False,False,False,False,False
81,Feist grinsend,388,482,6226,0,6226,6226,6226,6226,0,20023,64125,8090,8091,1,3,0,True,True,True,False,False,False,False,False
82,In sich gekehrt,389,483,6227,0,6227,6227,6227,6227,0,20024,64126,8092,8093,1,3,0,True,True,True,False,False,False,False,False
83,Augenbrauen,0,484,6228,0,6228,6228,6228,6228,0,20025,64127,8094,8095,1,3,0,True,True,True,False,False,False,False,False
84,Überheblich lächelnd,0,485,6229,0,6229,6229,6229,6229,0,20026,64128,8096,8097,1,3,0,True,True,True,False,False,False,False,False
85,Werfen,24,486,641,0,0,0,0,0,0,5102,64050,180,280,1,1,0,False,False,False,False,True,False,False,False
86,Schneeball,24,0,743,0,0,0,0,0,0,0,64050,149,249,1,1,0,False,False,False,False,True,False,False,False
87,Schneeball,24,0,640,0,0,0,0,0,0,0,64050,149,249,1,1,0,False,False,False,False,False,False,False,False
88,Schlafen,0,0,585,584,0,0,0,0,0,0,64350,0,0,1,2,3,False,False,False,False,False,False,False,False
89,,0,0,586,0,0,0,0,586,0,0,64054,0,0,1,2,3,False,False,False,True,False,False,False,False
90,Pose ändern,0,491,0,0,0,0,0,0,0,19998,64068,0,0,1,2,0,False,False,False,False,False,False,False,False
91,,0,0,3124,3123,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
92,,0,0,3126,3125,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
93,,0,0,3128,3127,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
94,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
95,,0,0,3132,3131,0,3132,0,0,0,0,0,0,0,1,4,2,False,False,False,False,False,False,False,False
96,,0,0,3134,3133,0,3134,0,0,0,0,0,0,0,1,4,2,False,False,False,False,False,False,False,False
97,,0,0,3136,3135,3136,0,0,0,0,0,0,0,0,1,4,1,False,False,False,False,False,False,False,False
98,,0,0,3138,3137,3138,0,0,0,0,0,0,0,0,1,4,1,False,False,False,False,False,False,False,False
99,,0,0,3140,3139,0,0,0,3140,0,0,0,0,0,1,4,3,False,False,False,False,False,False,False,False
100,,0,0,3142,3141,0,0,0,3142,0,0,0,0,0,1,4,3,False,False,False,False,False,False,False,False
101,Stepptanz,27,502,570,569,0,0,0,0,0,10001,64069,182,282,1,2,4,False,False,False,False,True,False,False,False
102,Tanz der Fruchtbarkeit,28,503,572,571,0,0,0,0,0,10002,64070,183,283,1,2,5,False,False,False,False,True,False,False,False
103,Tanz der Höflinge,29,504,574,573,0,0,0,0,0,10003,64071,184,284,1,2,6,False,False,False,False,True,False,False,False
104,Tanz der Chevaliers,30,505,576,575,0,0,0,0,0,10004,64072,185,285,1,2,7,False,False,False,False,True,False,False,False
105,Streicheln,0,506,3177,0,3179,3179,3179,0,3174,2009,64067,186,286,1,1,0,True,True,True,False,True,False,False,False
106,Übergeben,0,507,3178,0,3180,3180,3180,0,3176,5104,64073,187,287,1,1,0,True,True,True,False,True,False,False,False
107,,0,0,3182,3181,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
108,,0,0,3184,3183,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
109,Feuertanz,98,510,3188,3187,0,0,0,0,0,10005,64074,189,288,1,2,8,False,False,False,False,True,False,False,False
110,Hurra,225,511,741,0,0,0,0,0,0,2006,64075,190,289,1,1,0,False,False,False,False,True,False,True,False
111,Schlagen,0,512,3752,0,3755,3755,3755,0,3758,5019,64076,191,290,1,1,0,True,True,True,False,True,False,False,False
112,Umarmen,0,513,3753,0,3756,3756,3756,0,3759,2007,64077,192,291,1,1,0,True,True,True,False,True,False,False,False
113,Ans Herz drücken,229,514,3754,0,3757,3757,3757,0,3760,2008,64078,193,292,1,1,0,True,True,True,False,True,False,False,False
114,Hildibrand-Pose,244,515,3764,3763,0,0,0,0,0,10006,64079,194,293,1,2,9,False,False,False,False,True,False,False,False
115,Faustgruß,259,516,3766,0,3767,3767,3767,0,3768,3000,64080,195,294,1,1,0,True,True,True,False,True,False,False,False
116,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
117,,0,0,3771,3770,3771,0,0,0,0,0,0,0,0,1,4,1,False,False,False,False,False,False,False,False
118,Thavnair-Tanz,288,519,3775,3774,0,0,0,0,0,10007,64082,197,296,1,2,10,False,False,False,False,True,False,False,False
119,Goldtanz,289,520,3777,3776,0,0,0,0,0,10008,64083,198,297,1,2,11,False,False,False,False,True,False,False,False
120,Sonnentanz,283,521,3773,3772,0,0,0,0,0,10009,64084,199,298,1,2,12,False,False,False,False,True,False,False,False
121,Aufwärmen,305,522,3778,0,0,0,0,0,0,3001,64085,153,253,1,1,0,False,False,False,False,True,False,True,False
122,Triumph,306,523,3779,0,0,0,0,0,0,3002,64086,154,254,1,1,0,False,False,False,False,True,False,True,False
123,Salto,308,524,4680,0,0,0,0,0,0,6000,64087,155,255,1,1,0,False,False,False,False,True,False,False,False
124,Fernöstlicher Gruß,309,525,4678,0,4679,4679,4679,0,0,12,64088,156,256,1,1,0,True,True,True,False,True,False,False,False
125,Aha,304,526,4681,0,4683,4682,4682,0,0,3003,64089,157,257,1,1,0,True,True,True,False,True,False,False,False
126,Mogry-Tanz,67862,527,4673,4672,0,0,0,0,0,10011,64090,8000,8001,1,2,13,False,False,False,False,True,False,False,False
127,Haurchefant,318,528,4790,0,4791,4791,4791,0,0,3004,64091,8002,8003,1,1,0,True,True,True,False,True,False,False,False
128,Fernöstliches Strecken,323,529,4781,0,0,0,0,0,0,6001,64092,8004,8005,1,1,0,False,False,False,False,True,False,False,False
129,Fernöstlicher Tanz,324,530,4783,4782,0,0,0,0,0,10018,64093,8006,8007,1,2,14,False,False,False,False,True,False,False,False
130,Roter Bombattant I,315,531,4785,4784,0,0,0,0,0,10012,64094,8008,8009,1,2,15,False,False,False,False,True,False,False,False
131,Schwarze Bombattantin I,316,532,4789,4788,0,0,0,0,0,10014,64095,8010,8011,1,2,16,False,False,False,False,True,False,False,False
132,Gelber Bombattant I,317,533,4787,4786,0,0,0,0,0,10016,64096,8012,8013,1,2,17,False,False,False,False,True,False,False,False
133,Zwinkern (rechts),0,534,621,0,621,621,621,621,0,20004,64118,8014,8015,1,3,0,True,True,True,False,False,False,False,False
134,Roter Bombattant II,315,535,4793,4792,0,0,0,0,0,10013,64097,8016,8017,1,2,18,False,False,False,False,True,False,False,False
135,Schwarze Bombattantin II,316,536,4797,4796,0,0,0,0,0,10015,64098,8018,8019,1,2,19,False,False,False,False,True,False,False,False
136,Gelber Bombattant II,317,537,4795,4794,0,0,0,0,0,10017,64099,8020,8021,1,2,20,False,False,False,False,True,False,False,False
137,Gesicht vergraben,0,538,4674,0,4675,4675,4675,0,0,5020,64326,8022,8023,1,1,0,True,True,True,False,True,False,False,False
138,Zantetsuken,328,539,4803,0,0,0,0,0,0,12001,64327,8024,8025,1,2,0,False,False,False,False,True,False,True,False
139,Muskeln anspannen,0,540,4811,0,0,0,0,0,0,5051,64328,8026,8027,1,1,0,False,False,False,False,True,False,False,False
140,Respekt,0,541,4804,0,4812,4805,4805,0,0,1010,64329,8028,8029,1,1,0,True,True,True,False,True,False,False,False
141,Verächtlich,0,542,622,0,622,622,622,622,0,20017,64119,8030,8031,1,3,0,True,True,True,False,False,False,False,False
142,Lieb bitten,331,543,4800,0,4801,4801,4801,0,0,6002,64330,8032,8033,1,1,0,True,True,True,False,True,False,False,False
143,Totstellen,330,544,4799,4798,0,0,4799,0,0,11501,64331,8034,8035,1,2,21,False,True,True,False,True,False,False,False
144,Eisiges Erscheinen,329,545,4802,0,0,0,0,0,0,12002,64332,8036,8037,1,2,0,False,False,False,False,True,False,False,False
145,Sonne-und-Mond-Tanz,332,546,4810,4809,0,0,0,0,0,10010,64333,8038,8039,1,2,22,False,False,False,False,True,False,False,False
146,Kussregen,333,547,4815,0,0,0,0,0,0,1030,64334,8040,8041,1,1,0,False,False,False,False,True,False,False,False
147,Kussregen,333,0,4816,0,0,0,0,0,0,0,0,8040,8041,1,1,0,False,False,False,False,True,False,False,False
148,Brille,334,549,4676,0,4677,4677,4677,0,0,6003,64335,8042,8043,1,1,0,True,True,True,False,True,False,False,False
149,Singdrossel,335,550,4818,4817,0,0,0,0,0,10019,64336,8044,8045,1,2,23,False,False,False,False,True,False,False,False
150,Toter Mann,0,551,0,4806,0,0,4807,0,0,11001,64337,0,0,1,2,24,False,True,False,False,True,False,False,False
151,Unterwasserrolle,340,552,0,0,0,0,4808,0,0,6004,64338,0,0,1,1,0,False,False,True,False,True,False,False,False
152,Mund kräuseln,0,553,623,0,623,623,623,623,0,20018,64120,8046,8047,1,3,0,True,True,True,False,False,False,False,False
153,Kraft sammeln,343,554,4825,0,0,0,0,0,0,6005,64339,8048,8049,1,1,0,False,False,False,False,True,False,False,False
154,Fernöstliche Verbeugung,68016,555,4829,0,0,0,0,0,0,2,64340,8050,8051,1,1,0,False,False,False,False,True,False,False,False
155,Kniebeugen,373,556,5803,5812,0,0,0,0,0,11002,64341,8052,8053,1,2,25,False,False,False,False,True,False,False,False
156,Liegestütze,373,557,5800,5799,0,0,0,0,0,11003,64342,8054,8055,1,2,26,False,False,False,False,True,False,False,False
157,Sit-ups,373,558,5802,5801,0,0,0,0,0,11004,64343,8056,8057,1,2,27,False,False,False,False,True,False,False,False
158,Atemübung,373,559,5804,5813,0,0,0,0,0,11005,64344,8058,8059,1,2,28,False,False,False,False,True,False,False,False
159,Erzählen,0,560,5810,0,5811,5811,5811,0,0,6006,64345,8060,8061,1,1,0,True,True,True,False,True,False,False,False
160,Ernst,0,561,624,0,624,624,624,624,0,20019,64121,8062,8063,1,3,0,True,True,True,False,False,False,False,False
161,Betrübt,0,562,625,0,625,625,625,625,0,20020,64122,8064,8065,1,3,0,True,True,True,False,False,False,False,False
162,Sanftmütig,0,563,6215,0,6215,6215,6215,6215,0,20021,64123,8066,8067,1,3,0,True,True,True,False,False,False,False,False
163,Zufrieden,0,564,6216,0,6216,6216,6216,6216,0,20022,64124,8068,8069,1,3,0,True,True,True,False,False,False,False,False
164,Habachtstellung,375,565,5806,5805,0,0,0,0,0,11006,64346,8070,8071,1,2,29,False,False,False,False,True,False,False,False
165,Rühren,376,566,5808,5807,0,0,0,0,0,11007,64347,8072,8073,1,2,30,False,False,False,False,True,False,False,False
166,Schattenboxen,68498,567,5809,5814,0,0,0,0,0,11008,64348,8074,8075,1,2,31,False,False,False,False,True,False,False,False
167,Beschwörung,374,568,6219,6218,0,0,0,0,0,10020,64349,8076,8077,1,2,32,False,False,False,False,True,False,False,False
168,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
169,Vor Angst zittern,386,570,6233,6232,0,0,0,0,0,11011,64358,8098,8099,1,2,37,False,False,False,False,True,False,False,False
170,Außer Atem,385,571,6235,6234,0,0,0,0,0,11012,64359,8100,8101,1,2,38,False,False,False,False,True,False,False,False
171,Huch,387,572,6220,0,6221,6221,6221,0,0,5022,64360,8102,8103,1,1,0,True,True,True,False,True,False,False,False
172,Salopper Gruß,68558,573,6222,0,6223,6223,6223,0,0,5,64361,8104,8105,1,1,0,True,True,True,False,True,False,False,False
173,Tanzgrundschritt,260,574,6258,6257,0,0,0,0,0,10101,64362,8106,8107,1,2,39,False,False,False,False,True,False,False,False
174,Seitwärtsschritt,261,575,6260,6259,0,0,0,0,0,10102,64363,8108,8109,1,2,40,False,False,False,False,True,False,False,False
175,Ultima,262,576,6251,0,0,0,0,0,0,12004,64364,8110,8111,1,2,0,False,False,False,False,True,False,False,False
176,Yol-Tanz,269,577,6231,6230,0,0,0,0,0,10100,64365,8112,8113,1,2,41,False,False,False,False,True,False,False,False
177,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
178,Wasserschlacht,270,579,6252,0,0,0,6255,0,0,5103,64366,8114,8115,1,1,0,False,True,False,False,True,False,False,False
179,,270,0,6254,0,0,0,6256,0,0,0,64366,8114,8115,1,1,0,False,True,False,False,True,False,False,False
180,Mir ist heiß,263,581,6237,6236,0,0,0,0,0,11009,64367,8116,8117,1,2,42,False,False,False,False,True,False,False,False
181,Mir ist kalt,264,582,6239,6238,0,0,0,0,0,11010,64368,8118,8119,1,2,43,False,False,False,False,True,False,False,False
182,Erklären,265,583,6224,0,6225,6225,6225,0,0,6007,64369,8120,8121,1,1,0,True,True,True,False,True,False,False,False
183,Ahnungslos,68612,584,6261,0,6261,6261,6261,6261,0,20027,64129,8122,8123,1,3,0,True,True,True,False,False,False,False,False
184,Zwinkern (links),0,585,6262,0,6262,6262,6262,6262,0,20005,64130,8124,8125,1,3,0,True,True,True,False,False,False,False,False
185,Funky-Fantasy-Tanz,393,586,6294,6293,0,0,0,0,0,10103,64370,8126,8127,1,2,44,False,False,False,False,True,False,False,False
186,Toffel-Tanz,394,587,6296,6295,0,0,0,0,0,10104,64371,8128,8129,1,2,45,False,False,False,False,True,False,False,False
187,Summen,68688,588,6271,6270,0,0,0,0,0,10107,64372,8130,8131,1,2,46,False,False,False,False,True,False,False,False
188,Vergewissern,395,589,6273,6272,0,0,0,0,0,11013,64373,8132,8133,1,2,47,False,False,False,False,True,False,False,False
189,Plan erläutern,396,590,6275,6274,0,0,0,0,0,11014,64374,8134,8135,1,2,48,False,False,False,False,True,False,False,False
190,Zähne zusammenbeißen,68684,591,6253,0,6253,6253,6253,6253,0,20028,64131,8136,8137,1,3,0,True,True,True,False,False,False,False,False
191,Allagischer Stein,406,592,6302,0,6303,6303,6303,0,0,6020,64375,8138,8139,1,1,0,True,True,True,False,True,False,False,False
192,Salontanz,232,593,6299,6298,0,0,0,0,0,10105,64376,8140,8141,1,2,49,False,False,False,False,True,False,False,False
193,Goobbue-Poplock,233,594,6301,6300,0,0,0,0,0,10106,64377,8142,8143,1,2,50,False,False,False,False,True,False,False,False
194,Spendierhose,68700,595,6297,0,0,0,0,0,0,3100,64378,8144,8145,1,1,0,False,False,False,False,True,False,False,False
195,Gewinnerpose,234,596,6278,0,0,0,0,0,0,3101,64379,8146,8147,1,1,0,False,False,False,False,True,False,False,False
196,Ermahnen,235,597,6277,6276,0,0,0,0,0,11015,64380,8148,8149,1,2,51,False,False,False,False,True,False,False,False
197,Señor Kaktor,236,598,6250,0,0,0,0,0,0,3102,64381,8150,8151,1,1,0,False,False,False,False,True,False,False,False
198,Manderville-Mambo,68704,599,6305,6304,0,0,0,0,0,10108,64382,8152,8153,1,2,52,False,False,False,False,True,False,False,False
199,Holladrio,69095,600,7333,0,7334,7334,7334,0,0,13,64383,8154,8155,1,1,0,True,True,True,False,True,False,False,False
200,Omega-M,75,601,6307,6306,0,0,0,0,0,12005,64384,8156,8157,1,2,53,False,False,False,False,True,False,False,False
201,Omega-F,75,602,6309,6308,0,0,0,0,0,12006,64385,8158,8159,1,2,54,False,False,False,False,True,False,False,False
202,Prosit,76,603,6310,0,6311,6311,6311,0,0,3103,64386,8160,8161,1,1,0,False,True,True,False,True,False,False,False
203,Anlehnen,77,604,6280,6279,0,0,0,0,0,11502,64388,0,0,1,2,55,False,False,False,False,True,False,False,False
204,Kopfschmerz,78,605,6312,0,6313,6313,6313,0,0,5023,64387,8162,8163,1,1,0,True,True,True,False,True,False,False,False
205,Fingerschnippen,68,606,7348,0,7349,7349,7349,0,0,3104,64389,8164,8165,1,1,0,True,True,True,False,True,False,False,False
206,Brot essen,69,607,7355,0,7356,7356,7356,0,0,6040,64390,8166,8167,1,1,0,True,True,True,False,True,False,False,False
207,Buchlektüre,70,608,7357,0,7359,7358,7359,0,0,6070,64391,8168,8169,1,1,0,True,True,True,False,True,False,False,False
208,Insistieren,71,609,7353,0,7354,7354,7354,0,0,6021,64393,8170,8171,1,1,0,True,True,True,False,True,False,False,False
209,Hm,279,610,7350,0,7352,7351,7351,0,0,6072,64392,8172,8173,1,1,0,True,True,True,False,True,False,False,False
210,Wasshoi,271,611,7389,7388,0,0,0,0,0,10109,64394,8174,8175,1,2,56,False,False,False,False,True,False,False,False
211,Blütenregen,272,612,7390,0,0,0,0,0,0,3105,64395,8176,8177,1,1,0,False,False,False,False,True,False,False,False
212,Flammentanz,273,613,7409,7408,0,0,0,0,0,10110,64396,8178,8179,1,2,57,False,False,False,False,True,False,False,False
213,Schlag ein,275,614,7393,0,0,0,0,0,0,6101,64397,8180,8181,1,1,0,False,False,False,False,True,False,False,False
214,Wachsam,276,615,7401,7400,0,0,0,0,0,11503,64398,8182,8183,1,2,58,False,False,False,False,True,False,False,False
215,Fluch,277,616,7403,7402,0,0,0,0,0,11504,64399,8184,8185,1,2,59,False,False,False,False,True,False,False,False
216,Bienen-Swing,278,617,7392,7391,0,0,0,0,0,10111,64400,8186,8187,1,2,60,False,False,False,False,True,False,False,False
217,Holladrihopsasa,274,618,7419,7418,0,0,0,0,0,10112,64401,8188,8189,1,2,61,False,False,False,False,True,False,False,False
218,Pose ändern,0,0,7405,7404,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
219,Pose ändern,0,0,7407,7406,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
220,Onigiri essen,414,621,8005,0,8006,8006,8006,0,0,6041,64402,8190,8191,1,1,0,True,True,True,False,True,False,False,False
221,Apfel essen,415,622,8007,0,8008,8008,8008,0,0,6042,64403,8192,8193,1,1,0,True,True,True,False,True,False,False,False
222,Händereiben,416,623,7396,7395,0,0,0,0,0,11505,64404,8194,8195,550,2,62,False,False,False,False,True,False,False,False
